Refined_Formal_Name,Original-QID,Original-Refined_Category,Original-Status/Notes,Second-Query_QID,Second-Query_Label,Second-Query_Description,Second-Query_Logic
The Bean Eater,Q1232131,Work,[Category Fix] Annibale Carracci 的著名风俗画。,Q1232131,The Bean Eater,painting by Annibale Carracci,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Beheading of Saint John the Baptist,,Work,[Category Fix] 卡拉瓦乔等人的画作。,Q2727560,The Beheading of Saint John the Baptist,painting by Caravaggio,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Beheading of Saint Paul,,Work,[Category Fix] Algardi 的雕塑或画作。,Q21617356,The Beheading of Saint Paul,painting by Simon de Vos,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Birth of Saint John the Baptist,Q27700204,Work,[Category Fix],Q27700204,The Birth of Saint John the Baptist,painting by Andrea Sacchi,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Capture of Jerusalem by Titus,Q124039533,Work,[Category Fix] 普桑画作。,Q124039533,The Capture of Jerusalem by Titus,series of paintings by Nicolas Poussin,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Capture of Syracuse with the Death of Archimedes,,Work,[Category Fix],,,,No results found
The Children of Charles I,Q119496876,Work,[Category Fix] 凡·戴克画作。,Q119496876,The Children of Charles I,"painting by Anthony van Dyck (1599–1641) (after), V&A Museum of Childhood","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Choice of Hercules,Q118993578,Work,[Category Fix] 赫拉克勒斯的岔路口（Carracci 等）。,Q283665,The Choice of Hercules,painting by Annibale Carracci,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Circumcision,,Work,[Category Fix] 耶稣割礼图。,Q20177576,The Circumcision,painting by Rembrandt van Rijn,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Confession,,Work,[Category Fix] 可能是 Longhi 的画作《告解》。,Q3207718,The Confession,novel by John Grisham,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Conspiracy of Catiline,,Work,[Category Fix] Salvator Rosa 的画作。,Q776615,The Conspiracy of Catiline,essay by Sallust,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
The Continence of Scipio,,Work,[Category Fix] 西庇阿的节制（历史画）。,Q17347310,The continence of Scipio,painting by Gerbrand van den Eeckhout,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Conversion of Saint Paul,Q1448203,Work,[Category Fix] 卡拉瓦乔等人的画作。,Q19364829,The Conversion of Saint Paul,lost painting by Peter Paul Rubens,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Crossing of the Red Sea,,Work,[Category Fix] 普桑画作。,Q7728193,The Crossing of the Red Sea,painting by Nicolas Poussin,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Death of Ananias,,Work,[Category Fix] 拉斐尔挂毯设计。,Q3863236,The Death of Ananias,painting by Raphael,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Death of Cleopatra,Q12899375,Work,[Category Fix] 常见历史画主题。,Q15622804,The Death of Cleopatra,painting by Jean-André Rixens,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Death of Darius,,Work,[Category Fix] 历史画。,Q50821144,The death of Darius,painting by Giovanni Battista Piazzetta,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Death of Germanicus,Q20890835,Work,[Category Fix] 普桑的著名画作。,Q20890835,The Death of Germanicus,painting by Nicolas Poussin,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Death of Lucretia,Q20529027,Work,[Category Fix] 常见历史画主题。,Q51162654,The Death of Lucretia,painting by Frans van Mieris (I),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Death of Regulus,,Work,[Category Fix] Salvator Rosa 的画作。,Q77877582,The Death of Regulus,painting by Claude-Joseph Vernet,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Death of St Francis Xavier,,Work,[Category Fix] Baciccio 或 Maratti 的画作。,,,,No results found
The Deposition,Q2500226,Work,[Category Fix] 耶稣下十字架。,Q2500226,The Deposition,painting by Raphael,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Deposition from the Cross,,Work,[Category Fix],Q3705703,The Deposition from the Cross,painting by Pontormo,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Descent from the Cross,,Work,[Category Fix],Q568847,The Descent from the Cross,painting by Rogier van der Weyden in the Museo del Prado,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Ecstasy of Saint Margaret of Cortona,,Work,[Category Fix] Lanfranco 的画作。,,,,No results found
The Emperor Augustus Closing the Doors of the Temple of Janus,,Work,[Category Fix] Carlo Maratti 的画作。,,,,No results found
The Entombment of Christ,Q1213151,Work,[Category Fix] 提香、卡拉瓦乔等。,Q6121364,The Entombment of Christ,painting by El Greco,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Exodus,,Work,[Category Fix] 出埃及记主题（Castiglione 等）。,Q110305139,The Exodus,painting by Louis-Frédéric Schützenberger,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Fair at Poggio a Caiano,Q116912713,Work,[Category Fix] Giuseppe Maria Crespi 的画作。,Q116912713,The Fair at Poggio a Caiano,painting by Giuseppe Maria Crespi,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Fall of Phaethon,,Work,[Category Fix] 米开朗基罗（素描）或 Liss 等。,Q27701034,The Fall of Phaethon,painting after Peter Paul Rubens formerly attributed to Jan Carel van Eyck,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Fall of the Giants,,Work,[Category Fix] 朱利奥·罗马诺或萨尔瓦托·罗萨。,Q27701359,The Fall of the Giants,painting by Jacob Jordaens,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Family of Darius before Alexander,,Work,[Validation] 委罗内塞画作。,Q7733345,The Family of Darius Before Alexander,painting by Paolo Veronese,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Fates (Moirai),,Person (Myth),[Category Fix] 原文误标为 Work。命运三女神。,,,,No results found
The Feast of Herod,Q27955591,Work,[Category Fix] 多纳泰罗（浮雕）或鲁本斯。,Q27955591,The Feast of Herod,painting by Peter Paul Rubens,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Finding of Moses,,Work,[Category Fix] 发现摩西（常见主题）。,Q26713329,The Finding of Moses,painting by Orazio Gentileschi,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Finding of the True Cross,,Work,[Category Fix] 圣海伦纳发现真十字架。,Q20422024,The finding of the True Cross,painting by Cola Dell'amatrice,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Flagellation of Christ,,Work,"[Category Fix] 鞭笞基督（Piero della Francesca, Caravaggio 等）。",Q2264942,The Flagellation of Christ,painting by Caravaggio,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Flight into Egypt,,Work,"[Category Fix] 逃往埃及（Carracci, Poussin 等）。",Q970808,The Flight into Egypt,painting by Nicolas Poussin,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Forge of Vulcan,,Work,[Category Fix] 委拉斯开兹等。,Q18573204,The Forge of Vulcan,painting by Francesco Bassano the Younger,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Four Continents paying homage to Karl Philip von Greiffenklau,,Work,[Category Fix] 提埃坡罗在 Würzburg 的天顶画。,,,,No results found
The Four Elements,,Work,[Category Fix] 常见的寓意画主题（Arcimboldo 等）。,Q130357857,The Four Elements,painting by Artus Wolffort,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Four Seasons,,Work,[Category Fix] Poussin 或 Vivaldi（音乐）的主题。,Q1395699,The Four Seasons,set of four paintings by Giuseppe Arcimboldo,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Gathering of the Manna,,Work,[Category Fix] 普桑、提埃坡罗等。,Q79396899,The Gathering of the Manna,painting by Peter Paul Rubens,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Glorification of the Trinity with the Adoration of the Instruments of Passion,,Work,[Category Fix] 可能是特定祭坛画。,,,,No results found
The Glory of Saint Aloysius Gonzaga,,Work,[Category Fix] Guercino 或 Pozzo 的作品。,,,,No results found
The Glory of St Dominic,,Work,[Category Fix] Guido Reni 或 Piazzetta 的画作。,,,,No results found
The Great Flood,Q118397664,Work,"[Category Fix] 大洪水（Michelangelo, Poussin）。",Q124436027,The Great Flood,2025 South Korean film by Kim Byung-woo,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Holy Family,Q427390,Work,[Category Fix] 圣家族。,Q17347632,The Holy Family,painting by Jan Cornelisz. Vermeyen,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Holy Family with Saint John the Baptist,,Work,[Category Fix] 常见主题（Raphael 等）。,Q3212682,The Holy Family with Saint John the Baptist,"painting by Caravaggio, ""best"" version of 4","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Hunt of Meleager,,Work,[Category Fix] 墨勒阿革洛斯狩猎图（Poussin）。,Q27700904,The Hunt of Meleager,painting by Nicolas Poussin,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Infant Jupiter handed over by Cybele to the Corybantes,,Work,"[OCR Fix] ""befed"" -> ""be fed""。",,,,No results found
The Inspiration of the Poet,Q3204226,Work,[Category Fix] 普桑的著名画作。,Q3204226,The Inspiration of the Poet,painting by Nicolas Poussin (Louvre),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Institution of the Rosary,,Work,[Category Fix] 提埃坡罗等人的画作。,,,,No results found
The Judgment of Paris,Q20354950,Work,[Category Fix] 同上。 | [Category Fix] 帕里斯的裁判。,Q19911452,The Judgment of Paris,painting by Lucas Cranach the Elder (Metropolitan Museum of Art),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Justice of Solomon,,Work,[Category Fix] 所罗门的审判。,Q15866744,The Justice of Solomon,1909 silent short film,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Killing of Sisera,,Work,[Category Fix] 雅亿杀西西拉。,,,,No results found
The Last Judgment,,Work,[Category Fix] 最后的审判（Michelangelo）。,Q1995698,The Last Judgment,painting by Hieronymus Bosch,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Levites,,Group,[Category Fix] 利未人（圣经部族）。,Q48688524,The Levites,Israeli Band,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
The Life of Cato,,Work,[Category Fix] 可能是 Plutarch 的传记或壁画系列。,,,,No results found
The Life of Constantine,,Work,[Category Fix] 鲁本斯或罗马的壁画系列。,Q13377644,The Life of Constantine,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
The Life of Saint Ursula,,Work,[Category Fix] Carpaccio 的著名系列画作。,,,,No results found
The Madonna of Carmel and the Souls of Purgatory,,Work,[Category Fix] 提埃坡罗等画作。,,,,No results found
The Marriage of Frederick Barbarossa,Q26706747,Work,[Category Fix] 提埃坡罗在 Würzburg 的壁画。,Q26706747,The Marriage of Frederick Barbarossa,painting by Giovanni Domenico Tiepolo,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Marriage of Peleus and Thetis,,Work,[Category Fix] 常见神话主题。,Q17524356,The Marriage of Peleus and Thetis,painting by Cornelis Cornelisz van Haarlem,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Martyrdom of Saint Andrew,,Work,[Category Fix],Q77669176,The Martyrdom of Saint Andrew,painting by Domenichino (1581–1641) (after),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Martyrdom of Saint Cecilia,,Work,[Category Fix] 圣塞西莉亚殉教图（如 Domenichino 作品）。,Q65623933,The Martyrdom of Saint Cecilia,cartoon for a fresco,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
The Martyrdom of Saint Erasmus,Q59542375,Work,[Category Fix] 普桑的画作。,Q3850323,The Martyrdom of Saint Erasmus,painting by Nicolas Poussin in the Vatican Museums,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Martyrdom of Saint Peter,,Work,[Category Fix] 圣彼得殉教图（如卡拉瓦乔或雷尼作品）。,Q3224346,The Martyrdom of Saint Peter,painting by Mattia Preti,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Martyrdom of Saint Sebastian,,Work,[Category Fix],Q3720171,The Martyrdom of Saint Sebastian,painting by El Greco,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Massacre of the Innocents,,Work,"[Category Fix] 诸圣婴孩殉道（Guido Reni, Poussin）。",Q1134250,The Massacre of the Innocents,painting by Pieter Bruegel the Elder,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Meeting of Jacob and Esau,,Work,[Category Fix] 圣经主题或画作。,Q17324222,The meeting of Jacob and Esau,painting by Jacob Hogers,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Meeting of Leo the Great and Attila,,Work,[Category Fix] 拉斐尔或阿尔加迪的作品。,Q2716974,The Meeting of Leo the Great and Attila,fresco by Raphael,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
The Miracle of the Holy House of Loreto,Q20185296,Work,[Category Fix] 提埃坡罗的画作。,Q20185296,The Miracle of the Holy House of Loreto,painting by Giovanni Battista Tiepolo,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Mission,Q64547309,Concept,[Ambiguous] 可能是电影、特定修会任务或画作标题。,Q302490,The Mission,1986 film directed by Roland Joffé,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
The Murder of Abel,,Work,"[Correction] 通常是该隐杀亚伯 ""Cain killing Abel""。需确认是否为罕见变体。",Q118876979,The Murder of Abel,"painting by Netherlandish School, Walker Art Gallery","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Music Lesson,Q2336984,Work,"[Category Fix] Vermeer, Longhi 等画作。",Q2336984,The Music Lesson,"painting by Johannes Vermeer, Buckingham Palace","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Musicians,,Work,"[Category Fix] 卡拉瓦乔画作 ""The Musicians"" 或一般主题。",Q655705,The Musicians,painting by Caravaggio in the Metropolitan Museum of Art,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Mystic Marriage of Saint Catherine,Q27967889,Work,[Category Fix] 圣凯瑟琳的神秘婚姻。,Q27699692,The Mystic Marriage of Saint Catherine,painting by Anton Van Dyck,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Nativity,,Work,[Category Fix] 耶稣诞生图。 | [Category Fix] 耶稣降生。,Q28071074,The Nativity,painting by Filippino Lippi,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Origin of Coral,,Work,[Category Fix] 普桑或洛兰画作。,Q60410005,The Origin of Coral-Reefs,scientific article published in Nature,"Medium Confidence - Score: 86.4 (Sim: 0.86, Cat: Neutral)"
The Painter's Family,,Work,[Category Fix] 艺术家家庭肖像。,Q23935763,The Painter's Family,painting by Francesc Lacoma Sans,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Parlor,,Work,[Category Fix] Pietro Longhi 的画作《The Parlatorio》。,Q55635448,The Parlor,American musical group,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
The Plague at Ashdod,Q26692514,Work,[Category Fix] 普桑的画作。,Q3900760,The Plague at Ashdod,painting by Nicolas Poussin,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Pool of Bethesda,,Work,"[Category Fix] 毕士大池（Hogarth, Panini）。",Q23758352,The Pool of Bethesda,painting by Robert Bateman,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Power of Eloquence,,Work,[Category Fix] 提埃坡罗在 Würzburg 的天顶画局部或寓意画。,,,,No results found
The Power of Love,,Work,[Category Fix] 寓意画。,Q3522295,The Power of Love,1922 film by Harry Kenneth Fairall,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Presentation in the Temple,Q110803137,Work,[Category Fix] 圣殿奉献。,Q19914235,The Presentation in the Temple,painting by Alvaro Pirez,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Presentation of Jesus in the Temple,,Work,[Category Fix],Q27697223,The Presentation of Jesus in the Temple,painting by Master of the Sisla,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Presentation of the Virgin in the Temple,,Work,[Category Fix] 提香或其他画家的主题。,Q18338564,The Presentation of the Virgin in the Temple,print by Albrecht Dürer from the series Life of the Virgin,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Rape of Europa,,Work,[Category Fix] 提香、委罗内塞等人的画作。,Q18002417,The Rape of Europa,painting by Titian,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Rape of Ganymede,,Work,[Category Fix] 伽尼米德的劫夺。,Q3930497,The Rape of Ganymede,"painting by Rembrandt at Gem?ldegalerie Alte Meister, Dresden, Germany","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Rape of Proserpina,,Work,[Category Fix] 贝尼尼雕塑或画作。,Q2352789,The Rape of Proserpina,sculpture by Gian Lorenzo Bernini,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Rape of the Sabine Women,,Work,[Category Fix] | [Category Fix] 普桑、詹博洛尼亚作品。 | [Category Fix] 萨宾妇女的劫夺。,Q26509395,The Rape of the Sabine Women,painting by Peter Paul Rubens,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Rehearsal of an Opera,,Work,[Category Fix] Marco Ricci 的画作。,,,,No results found
The Repentant Magdalene,Q12900942,Work,[Category Fix] 忏悔的抹大拉。,Q64547315,The Repentant Magdalene,painting by Pieter van der Werff,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Rest on the Flight into Egypt,Q28796949,Work,[Category Fix] 逃往埃及途中的休息。,Q135412136,The Rest on The Flight into Egypt,painting by Jan Brueghel I (1568–1625) und Hendrik van Balen I (1573–1632),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Resurrection,Q23929203,Work,[Category Fix] 耶稣复活。,Q617629,The Resurrection,1597 painting by El Greco,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Revolt of Masaniello,,Work,[Category Fix] 原文误标为 Person。指描绘该事件的画作（Spadaro/Cerquozzi）。,,,,No results found
The Road to Calvary,,Work,[Category Fix] 苦路。,Q28927376,The Road to Calvary,painting in the tradition of Hieronymus Bosch,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Rokeby Venus,,Work,[Category Fix] 委拉斯开兹的《镜前的维纳斯》。,Q52209260,The Rokeby Venus and Adonis,painting by Titian,"High Confidence - Score: 94.4 (Sim: 0.74, Cat: Match)"
The Royal Hunt of Dido and Aeneas,Q28093447,Work,[Category Fix] 埃涅阿斯纪主题。,Q28093447,The Royal Hunt of Dido and Aeneas,"painting by Francesco Solimena made for Raimondo Buonaccorsi and conserved at the Museum of Fine Arts, Houston","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Sacrament of the Last Supper,,Work,[Category Fix] 达利（Dali）作品在华盛顿？或是指 Leonardo 的复制品？需具体语境。,Q30521,The Sacrament of the Last Supper,Salvador Dali painting,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Sacrifice of Iphigenia,,Work,[Category Fix] 伊菲革涅亚的献祭。 | [Category Fix] 提埃坡罗等人的画作。,Q20650593,The Sacrifice of Iphigenia,painting by Jan Steen,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Sacrifice of Isaac,,Work,[Category Fix] 以撒的献祭。 | [Category Fix] 常见的艺术主题。,Q27697635,The Sacrifice of Isaac,painting by Andrea del Sarto (Museo del Prado),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Sacrifice of Noah,Q52289557,Work,[Category Fix] 诺亚的献祭。,Q3944655,The Sacrifice of Noah,painting by Michelangelo on the Sistine Chapel ceiling,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Sacrifice of Polyxena,,Work,[Category Fix] 波吕克塞娜的献祭。,Q19905106,The Sacrifice of Polyxena,painting by Charles Le Brun,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Sala Grande of the Ridotto (Palazzo Dandolo),,Place,"[OCR Fix] ""S. Mois豕"" -> ""San Moisè""。威尼斯著名的赌场大厅。",,,,No results found
The Sea Triumph of Charles II,Q28026269,Work,[Category Fix] Verrio 的画作（Hampton Court）。,Q28026269,The Sea Triumph of Charles II,painting by Antonio Verrio,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Seven Sacraments,,Work,[Category Fix] 普桑的著名系列画作。,Q98125310,The Seven Sacraments,series of prints by Philip Galle and Hans Bol,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Spectator,,Work,[Category Fix] 原文误标为 Person。18世纪英国期刊。,Q1790750,The Spectator,British weekly magazine,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
The Standard Bearer,,Work,[Category Fix] 伦勃朗或 Piazzetta 的画作。,Q21467444,The Standard Bearer,painting by Rembrandt,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Stoning of Zechariah,,Work,[Category Fix],,,,No results found
The Tempest,Q930137,Work,[Category Fix] 乔尔乔内的《暴风雨》。,Q930137,The Tempest,"painting by Giorgione, Gallerie dell'Accademia - hall VIII","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Three Angels Visiting Abraham,,Work,[Category Fix] 提埃坡罗等。,,,,No results found
The Three Graces,,Work,"[Category Fix] 三美神（Canova, Rubens）。",Q2268524,The Three Graces,painting by Peter Paul Rubens in Madrid,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Tiburtine Sibyl Announces the Advent of Christ to Augustus,,Work,[Category Fix] 提布尔巫女预言。,Q3212826,The Tiburtine Sibyl announces the advent of Christ to Augustus,painting by Pietro da Cortona,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Triumph of Galatea,,Work,[Category Fix] 拉斐尔的壁画。,Q20177361,The Triumph of Galatea,painting by Bernardo Cavallino,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Triumph of Venice,Q121493619,Work,[Category Fix] 提埃坡罗 (Palazzo Pisani) 或 Pompeo Batoni 的画作。 | [Category Fix] 提埃坡罗或 Veronese 的画作。,Q121493619,The Triumph of Venice,1737 painting by Pompeo Batoni,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Triumph of the Name of Jesus,Q106777211,Work,[Category Fix] Il Gesù 教堂的天顶画（Baciccio）。 | [Category Fix] 罗马耶稣会教堂天顶画。,Q106777211,The Triumph of the Name of Jesus,painting by Il Baciccio (Giovanni Battista Gaulli),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Vigilia di Santa Marta,Q19660357,Work,[Category Fix] Canaletto 的画作。,Q19660357,The Vigilia di Santa Marta,painting by Canaletto (Gem?ldegalerie),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Virgin Giving the Habit to Saint Teresa,,Work,[Category Fix],,,,No results found
The Virgin Mary Appears to Saint Francis,,Work,[Category Fix],Q115557804,The Virgin Mary appears to Saint Francis,"painting by Giovanni Battista Salvi da Sassoferrato at the Schwarzenberg Palace, Prague, Czech Republic","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Virgin and Child with Saints Catherine and Dominic,,Work,[Category Fix] 玫瑰经圣母（Sassoferrato 或 Tiepolo）。,,,,No results found
The Virgin with the Rabbit,,Work,[Validation] 提香画作。,,,,No results found
The Vision of Constantine,Q7772874,Work,[Category Fix] 康斯坦丁的幻象。,Q110034112,The Vision of Constantine,Painting by Elias Moskos,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Vision of Saint Eustace,,Work,[Category Fix] 圣尤斯塔斯狩猎幻象。,Q669872,The Vision of Saint Eustace,painting by Pisanello,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Visit of Henry III to the Villa Contarini,Q5968478,Work,[Category Fix] 提埃坡罗的壁画。,Q5968478,The Visit of Henry III to the Villa Contarini,painting by Giambattista Tiepolo,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Visitation,,Work,[Category Fix] 圣母访亲。,Q21806457,The Visitation,painting by Master MS,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Wallace Collection,Q1327919,Organization,[Category Fix] 原文误标为 Place。伦敦著名的博物馆。,Q1327919,The Wallace Collection,"art museum in London, England, UK","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The War between the Romans and the Sabines,,Work,[Category Fix] 历史画。,,,,No results found
The Wedding Feast at Cana,,Work,[Category Fix] 迦拿的婚礼。,Q61742569,The Wedding Feast at Cana,painting by Netherlands artist,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Wedding Feast at Cana (after Veronese),,Work,[Category Fix] 临摹作品。,,,,No results found
The Woman Taken in Adultery,,Work,[Category Fix] 基督与淫妇。,Q570163,The Woman Taken in Adultery,painting by Rembrandt,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
The Worship of Venus,Q3743879,Work,[Category Fix] 提香的《维纳斯的崇拜》。,Q3743879,The Worship of Venus,painting by Titian,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Theatinerkirche,,Place,[Category Fix] 铁阿提纳教堂。,Q2416322,Theatinerkirche,Wikimedia disambiguation page,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Theatines,Q1414924,Organization,[Category Fix] 铁阿提纳修会。,Q1414924,Theatines,Roman Catholic religious order,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Third Colonnade for St. Peter's Square,,Work,[Category Fix] 贝尼尼的未建设计方案。,,,,No results found
Thomas Baines,,Person,[Reconstruction] 英国医生/旅行者。,Q113518,Thomas Baines,British expedition artist (1820-1875),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Thomas Baker,Q7787323,Person,可能是古董商或收藏家。,Q7787321,Thomas Baker,officer of the Royal Navy (1771-1845),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Thomas Buser,Q2422807,Person,艺术史学家。,Q2422807,Thomas Buser,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Thomas Coke, 1st Earl of Leicester",Q5944748,Person,"[Context] ""Mr Coke"" 常指 Thomas Coke (Holkham Hall 建造者/收藏家)。 | 霍尔克姆大厅的主人。",Q5944748,"Thomas Coke, 1st Earl of Leicester",British politician (1754–1842),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Thomas Foley, 1st Baron Foley",Q7789693,Person,,Q7789691,"Thomas Foley, 1st Baron Foley",English politician (1673-1733),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Thomas G. Bergin,,Person,但丁/维柯学者。,Q1725378,Thomas G. Bergin,American scholar of Italian literature (1904–1987),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
