Refined_Formal_Name,QID,Refined_Category,Status/Notes
Roberto d'Oderisio,Q3437002,Person,14世纪那不勒斯画家。 | 那不勒斯画家。
Rococo Pavilion,G115,Place,[Context] 可能是宁芬堡的 Amalienburg 等。
Rodolfo Gallo,Q61476139,Person,威尼斯历史学家。
Rodolfo Pallucchini,Q3438258,Person,威尼斯艺术史学家。
Roger Hinks,Q19754105,Person,艺术史学家。
Roger Jones,Q19997588,Person,艺术史学家。
Roger Joseph Boscovich (Ruđer Bošković),,Person,[Disambiguation] 耶稣会科学家/多面手。
Roger Morris,Q370192,Person,英国帕拉迪奥主义建筑师。
Roman Charity (Caritas Romana),,Work,[Disambiguation] 罗马慈悲 (绘画主题)。
Roman Curia,Q108169,Organization,[Category Fix] 罗马教廷。
Romania,Q18487313,Place,罗马尼亚（或指 Romagna 地区，需语境）。
Romolo Panfi,Q16853915,Person,(Romolo Panfi) 佛罗伦萨画家。
Romulus,Q2186,Person,罗马建立者。
Romulus and Remus,A343,Person,"[Category Fix] 鲁本斯、Carracci 等人的画作主题。 | [OCR Fix] ""Romulm"" -> ""Romulus""。"
Rosalba Carriera,Q237726,Person,威尼斯色粉画家。
Rosalba Lorenzetti,R180,Person,现代学者/图书管理员。
Rovereto,,Place,意大利特伦蒂诺城市。
Royal Academy of Arts,Q270920,Organization,[Category Fix] 英国皇家美术学院。
Royal Alcázar of Madrid,,Place,马德里王宫（旧）。
Royal Chapel,,Place,皇家礼拜堂（泛指）。
Royal Collection,,Organization,[Category Fix] 英国皇室收藏。
Royal Gallery,Q83287058,Organization,[Context] 可能指都灵或德累斯顿的皇家画廊。
Royal Hospital Chelsea,,Place,伦敦切尔西荣军院。
Royal Library of Turin,Q856408,Organization,[Category Fix] 都灵皇家图书馆。
Royal Palace of Aranjuez,Q530129,Place,阿兰胡埃斯王宫。
Royal Palace of Madrid,Q171517,Place,马德里王宫。
Royal Palace of Naples,Q426339,Place,那不勒斯王宫。
Royal Palace of Turin,Q19824,Place,都灵王宫。
Royal Society,Q123885,Organization,[Category Fix] 英国皇家学会。
Royal Swedish Academy of Sciences,Q191583,Organization,[Category Fix] 瑞典皇家科学院。
Rudolf Wittkower,Q215999,Person,著名的艺术史学家（巴洛克建筑/贝尼尼专家）。
Rue de Richelieu,,Place,巴黎街道。
Ruggero Nuti,Q42298127,Person,普拉托档案学家/历史学家。
Ruins of the Church of the Cross,A453,Work,[Category Fix] 可能是 Pannini 或 Hubert Robert 的画作。
Rules of the Order,A191,Concept,[Category Fix] 修会会规（书籍/概念）。
Ruđer Josip Bošković,,Person,"[OCR Fix] ""?"" -> ""đ"", ""?"" -> ""š"", ""?"" -> ""ć""。博斯科维奇。"
Sacrifices to Priapus,A193,Work,[Category Fix] 祭祀普里阿普斯的主题。
Saint Agnes,,Person,圣阿格尼丝。
Saint Alexis,,Person,圣亚历克西斯。
Saint Aloysius Gonzaga,,Person,[Category Fix] 原文误标为 Man-Made Object。
Saint Andrew,Q77959687,Person,[Disambiguation] 圣安德烈。 | 圣安德烈（人物）。
Saint Andrew Avellino,,Person,圣安德烈·阿韦利诺。
Saint Bartholomew,,Person,[Disambiguation] 圣巴多罗买。
Saint Benedict,,Person,[Category Fix] 原文误标为 Place。圣本笃。
Saint Catherine of Siena,Q229190,Person,圣凯瑟琳（锡耶纳）。
Saint Dominic,Q44091,Person,圣多明我。
Saint Domitilla,,Person,[Category Fix] 原文误标为 Man-Made Object。
Saint Francis Xavier,,Person,[Disambiguation] 圣方济各·沙勿略。 | 圣方济各·沙勿略。
Saint Francis of Assisi,,Person,[Category Fix] 原文误标为 Place。圣方济各。
Saint Francis of Paola,,Person,[Disambiguation] 圣方济各·保拉。
Saint George,Q48438,Person,圣乔治。
Saint Ignatius of Loyola,,Person,[Validation] 同上。 | [Validation] 耶稣会创始人。
Saint John Chrysostom,,Person,[Validation] 圣金口约翰。
Saint John the Baptist,,Person,[Category Fix] 原文误标为 Man-Made Object。施洗约翰。 | [Validation] 圣徒。
Saint Joseph,Q128267,Person,圣约瑟夫。
Saint Justina of Padua,,Person,帕多瓦的圣朱斯蒂娜。
Saint Lawrence,,Person,"[Category Fix] 原文误标为 Place。圣劳伦斯。 | [OCR Fix] ""St.Lawrenc"" -> ""St. Lawrence""。"
Saint Longinus,Q7401650,Work,[Category Fix] 贝尼尼的雕塑或艺术形象。
Saint Mark,,Person,[Category Fix] 原文误标为 Man-Made Object。圣马可。
Saint Paul,Q9200,Person,圣保罗。
Saint Peter,Q33923,Person,圣彼得。
Saint Peter Penitent,Q27964827,Work,[Category Fix] 忏悔的圣彼得（Guercino 等画作）。
Saint Petersburg,Q656,Place,圣彼得堡。
Saint Philip Neri,Q217791,Person,圣菲利波·内里。
Saint Romuald,,Person,[Category Fix] 原文误标为 Man-Made Object。
Saint Sebastian,Q3947947,Person,圣塞巴斯蒂安。
Saint Simon Stock,,Person,圣西蒙·斯托克（加尔默罗会）。
Saint Stanislaus Kostka,,Person,[Category Fix] 原文误标为 Man-Made Object。 | 圣斯坦尼斯劳斯·科斯特卡。
Saint Susanna,Q42195908,Work,[Category Fix] Duquesnoy 的雕塑或圣人形象。
Saint Teresa of Avila,,Person,圣特蕾莎（阿维拉）。
Saint Thomas Aquinas,,Person,圣托马斯·阿奎那。
Saint Vincent Ferrer,,Person,圣文森特·费雷尔。
Saint William of Aquitaine,,Person,[Category Fix] 原文误标为 Man-Made Object。
Saint-Mathieu Church,,Place,"[OCR Fix] ""SaintMathieu"" -> ""Saint-Mathieu""。"
Saint-Omer,,Place,"[OCR Fix] ""SaintOmer"" -> ""Saint-Omer""。"
Saints John and Charles Borromeo,,Work,[Category Fix] 画作主题。
Saints Peter and Paul Baptizing in the Mamertine Prison,,Work,[Category Fix] 艺术主题。
Salomon de Brosse,Q725816,Person,法国建筑师（卢森堡宫）。
Salone,G119,Place,[Ambiguous] 帕多瓦的 Palazzo della Ragione (Il Salone) 或泛指大厅。
Salvator Rosa,Q359421,Person,萨尔瓦托·罗萨。
Salvator Varda,R181,Person,[Verify] 可能是 Salvator Rosa 的误读，或罕见人物。经查有医生 Salvator Varda。
Salviati family,,Group,佛罗伦萨家族。
Salvino Salvini,Q3946279,Person,佛罗伦萨雕塑家。
Samson,A195,Person,圣经人物。
Samson Slaying a Thousand with the Jawbone of an Ass,,Work,[Category Fix] 艺术主题。
Samuel H. Kress Foundation,Q30272990,Organization,[Category Fix] 艺术基金会。
Samuel Henry Kress,Q3471151,Person,美国收藏家。
Samuel Hill,Q28955153,Person,可能是英国版画家或美国收藏家。
Samuel Johnson,Q183266,Person,约翰逊博士。
Samuel von Pufendorf,Q57186,Person,德国法学家。 | 法学家/历史学家。
Samuele Romanin,Q3946678,Person,威尼斯历史学家。
San Bartolomeo all'Isola,Q1755418,Place,罗马教堂。
San Basilio agli Orti Sallustiani,Q3669578,Place,罗马教堂。
San Canciano,Q1400212,Place,威尼斯教堂。
San Carlo ai Catinari,Q19593814,Place,罗马教堂。
San Carlo alle Quattro Fontane,,Place,罗马教堂。 | 罗马教堂（波罗米尼）或喷泉群。
San Damaso,,Place,[Disambiguation] 可能是 San Damaso 教堂或 Cortile di San Damaso (梵蒂冈)。
San Domenico,,Place,圣多明我教堂（泛指）。
San Francesco de' Macci,Q3001634,Place,佛罗伦萨教堂。
San Francesco della Vigna,Q946542,Place,威尼斯教堂。
San Francesco di Paola ai Monti,,Place,[Disambiguation] 罗马的卡拉布里亚人教堂。
San Gaetano,Q764060,Place,佛罗伦萨或帕多瓦教堂。
San Giorgio Maggiore,,Place,[Validation] 威尼斯教堂。 | 威尼斯修道院。 | 威尼斯教堂（帕拉迪奥）。
San Giovanni Decollato,Q1255741,Place,罗马或威尼斯教堂。 | 罗马教堂。
San Giovanni Grisostomo,,Place,威尼斯教堂。
San Giovanni dei Fiorentini,,Place,[Validation] 罗马教堂。
San Giovanni in Laterano,G5,Place,拉特朗圣约翰大殿。
San Girolamo della Carità,Q888055,Place,"[OCR Fix] ""Carit角"" -> ""Carità""。罗马教堂。"
San Lanfranco,,Place,帕维亚教堂。
San Lorenzo,,Place,佛罗伦萨或罗马教堂。
San Lorenzo in Damaso,Q1886229,Place,罗马教堂。
San Luigi dei Francesi,Q638283,Place,罗马法兰西教堂。
San Marco,,Place,威尼斯圣马可大教堂。
San Marco (Parish),,Organization,圣马可堂区。
San Martino ai Monti,Q1663278,Place,罗马教堂。
San Matteo,,Place,"[OCR Fix/Dialect] 威尼斯方言 ""San Matio"" (San Matteo)。"
San Niccolò al Lido,,Place,威尼斯利多岛教堂。
San Pietro (Perugia),,Place,佩鲁贾教堂。
San Salvador,Q1028202,Place,威尼斯教堂。
San Salvatore (Brescia),,Place,布雷西亚修道院。
San Salvatore in Lauro,Q659529,Place,罗马教堂。
San Sebastiano,Q588559,Place,威尼斯教堂（委罗内塞埋葬地）。
San Sebastiano fuori le mura,G7,Place,罗马教堂。
San Sisto Vecchio,Q2736770,Place,罗马教堂。
San Tomà,,Place,"[OCR Fix] ""Tom角"" -> ""Tomà""。威尼斯教堂。"
San Vitale,Q1579529,Place,拉文纳或威尼斯教堂。
San Zaccaria,Q794876,Place,[Duplicate] 同上。 | 威尼斯教堂。
Sandrina Bandera Bistoletti,Q106678699,Person,现代艺术史学家（布雷拉美术馆馆长）。
Sant'Agnese in Agone,Q1192577,Place,罗马教堂。 | 罗马教堂（Piazza Navona）。
Sant'Alvise,Q1400201,Place,威尼斯教堂。
Sant'Andrea al Quirinale,Q1354667,Place,[Ambiguous] 可能是 Quirinale 或 Della Valle，视语境。 | [Category Fix] 原文误标为 Work。贝尼尼建筑。 | [Context] 可能是指 Quirinale 的 Jesuit Novitiate church。 | 罗马教堂（贝尼尼）。
Sant'Andrea della Valle,Q1631593,Place,罗马教堂。
Sant'Aponal,Q1403387,Place,威尼斯教堂。
Sant'Ignazio di Loyola,,Place,罗马教堂（波佐壁画）。
Santa Bibiana,,Place,罗马教堂（贝尼尼雕塑）。
Santa Cecilia in Trastevere,,Place,[Disambiguation] 罗马教堂。
Santa Maria Assunta,Q585738,Place,常见的教堂名（如威尼斯I Gesuiti）。
Santa Maria Formosa,Q1813687,Place,威尼斯教堂。
Santa Maria Gloriosa dei Frari,Q224961,Place,威尼斯弗拉里教堂。
Santa Maria Maddalena dei Pazzi,Q1784984,Place,佛罗伦萨教堂。
Santa Maria Maggiore,Q2001128,Place,罗马圣母大殿。
Santa Maria dei Carmini,,Place,[Validation] 威尼斯教堂 (Scuola Grande dei Carmini 旁边)。
Santa Maria del Giglio,,Place,别名 Zobenigo，威尼斯教堂。
Santa Maria del Popolo,Q869513,Place,罗马教堂。
Santa Maria del Rosario (Gesuati),,Place,威尼斯Gesuati教堂。
Santa Maria della Carità,,Place,[Validation] 威尼斯建筑。
Santa Maria della Concezione dei Cappuccini,Q546141,Place,[Disambiguation] 罗马嘉布遣会教堂。 | 罗马嘉布遣会教堂。 | 罗马骨骸寺。
Santa Maria della Fava,,Place,威尼斯教堂。
Santa Maria della Pace,Q1514683,Place,罗马教堂。
Santa Maria della Pietà,Q1559661,Place,"[OCR Fix] ""Piet角"" -> ""Pietà""。威尼斯教堂（维瓦尔第）。"
Santa Maria della Salute,Q52531,Place,威尼斯安康圣母堂。
Santa Maria della Vittoria,Q863593,Place,罗马教堂。 | 罗马教堂（贝尼尼《圣特蕾莎》所在地）。
Santa Maria di Loreto,Q461997,Place,罗马教堂。
Santa Maria di Nazareth (Scalzi),,Place,[Category Fix] 威尼斯赤足教堂（通常简称 Scalzi）。 | 威尼斯赤足教堂。
Santa Maria in Montesanto,Q1809115,Place,罗马人民广场双子教堂之一。
Santa Maria in Vallicella,Q2031901,Place,罗马新堂（Chiesa Nuova）。
Santa Maria sopra Minerva,G27,Place,罗马多明我会教堂。
Santa Marta (Naples),,Place,那不勒斯教堂。
Santa Prassede,Q733890,Place,罗马圣普拉塞德教堂。
Santi Apostoli,Q1515300,Place,罗马或威尼斯教堂（十二使徒教堂）。
Santi Apostoli (Venice/Rome),,Place,[Disambiguation] 圣使徒教堂。
Santi Cosma e Damiano,,Place,[Validation] 罗马教堂。
Santi Cosma e Damiano (Giudecca),,Place,威尼斯朱代卡岛教堂。
Santi Nereo e Achilleo,,Place,罗马教堂或圣人。
Santi Quattro Coronati,G61,Place,罗马四殉道堂。
Santi Vincenzo e Anastasio a Trevi,Q2313394,Place,罗马特莱维喷泉旁教堂。
Santissima Annunziata,Q2287001,Place,[Disambiguation] 指代教堂或广场。 | 佛罗伦萨著名教堂。
Santo Stefano,,Place,威尼斯或罗马教堂。
Santo Stefano Rotondo,Q916860,Place,罗马圆形教堂。
Sapienza University of Rome,,Organization,罗马大学（La Sapienza）。
"Sarah Churchill, Duchess of Marlborough",,Person,著名的马尔伯勒公爵夫人。 | 马尔伯勒公爵夫人。
Sassoferrato,Q124886,Person,(Giovanni Battista Salvi da Sassoferrato) 画家。 | 马尔凯大区城镇。
Sassoferrato (Giovanni Battista Salvi),,Person,[Disambiguation] 萨索费拉托。
Saverio Bettinelli,Q1152092,Person,耶稣会作家/文学评论家。
Saverio Savini,R182,Person,
Savoy,,Place,萨伏伊公国。
Scala Regia,A454,Place,梵蒂冈皇家阶梯（贝尼尼设计）。
Scandinavia,Q21195,Place,斯堪的纳维亚。
Scenes from the Aeneid,A196,Work,[Category Fix] 埃涅阿斯纪插图/画作（如提埃坡罗）。
Scenes from the Life of Scipio Africanus,A455,Work,[Category Fix] 历史画系列。
Scenes of Christian Warfare,A456,Work,[Category Fix] 可能是圣战或十字军主题画作。
Scenes of Venetian Noble Life,A457,Work,[Category Fix] Pietro Longhi 或 Guardi 的风俗画。
Scenes of Witchcraft,Q60473367,Work,[Category Fix] Salvator Rosa 的画作主题。
Schleissheim Palace,,Place,"[OCR Fix] ""Schlei?heim"" -> ""Schleißheim""。慕尼黑施莱斯海姆宫。"
Schloss Weimar,Q878253,Place,魏玛城堡。
Schloss Weißenstein (Pommersfelden),,Place,申博恩伯爵的宫殿所在地。
School of Carlo Cignani,G77,Group,[Category Fix] 艺术流派/工作室。
Schönborn family,,Group,"[OCR Fix] ""Sch?nborn"" -> ""Schönborn""。德国贵族家族。"
Schönbrunn Palace,,Place,"[OCR Fix] ""Sch?nbrunn"" -> ""Schönbrunn""。维也纳美泉宫。"
Scipio Aemilianus,Q2307,Person,小西庇阿。
Scipione Borghese,Q452570,Person,[Category Fix] 原文误标为 Work。 | 红衣主教希皮奥内·博尔盖塞（贝尼尼的赞助人）。
Scipione Maffei,Q1587432,Person,维罗纳侯爵，作家/考古学家。
Scipione Pulzone,Q2632216,Person,别名 Il Gaetano，罗马肖像画家。
Scottish National Gallery,Q942713,Organization,[Category Fix] 苏格兰国家美术馆。
Scrovegni Chapel,Q963954,Place,帕多瓦斯克罗威尼礼拜堂（乔托壁画）。
Scrovegni Chapel (Arena Chapel),,Place,[Disambiguation] 帕多瓦斯克罗威尼礼拜堂。
Sculptures for the Cathedral,A458,Work,[Category Fix] 泛指，需结合具体教堂。
Scuola Grande dei Carmini,Q1641449,Place,[Duplicate] 同上。 | 威尼斯卡尔米尼大会堂。
Scuola Grande dei Carmini / Carità?,,Place,"[Ambiguity] ""Carita"" 可能是 ""Santa Maria della Carità"" (威尼斯学院美术馆前身)。"
Scuola Grande di San Rocco,Q1270723,Place,[Duplicate] 同上。 | 威尼斯圣罗格大会堂。 | 威尼斯圣罗格大会堂（丁托列托）。
Sebastiano Bombelli,Q963486,Person,[Reconstruction] 威尼斯肖像画家。 | 威尼斯肖像画家。
Sebastiano Conca,Q774781,Person,那不勒斯画家，活跃于罗马。
Sebastiano Foscarini,,Person,"[Disambiguation] 可能是 ""Foscarini in Vienna"" (大使) 的简写，指 Sebastiano 或 Marco Foscarini。"
Sebastiano Galeotti,Q3953755,Person,佛罗伦萨/热那亚画家。
Sebastiano Marcotti,R183,Person,17世纪版画家（活跃于那不勒斯）。 | [Duplicate]
Sebastiano Molino,R184,Person,可能是 Sebastiano Molina (画家) 或 Molin 家族成员。
Sebastiano Resta,Q23836183,Person,著名的素描收藏家（Padre Resta）。 | 著名的绘画收藏家/鉴赏家。
Sebastiano Ricci,Q26878812,Person,威尼斯洛可可画家。
Sebastiano Serlio,Q452318,Person,建筑理论家。
Secondo Lancellotti,Q15733678,Person,17世纪作家（《L'Hoggidì》）。 | [Reconstruction] 作家 (L'Hoggidì)。
Seebohm Rowntree,,Person,[Validation] 社会学家 (可能作为文献引用)。
Self-Portrait as David,A197,Work,[Category Fix] Giorgione 或 Palma Giovane 的画作。
Self-Portrait as Winter,,Work,[Category Fix] 罗萨尔巴·卡列拉的色粉画。
Seminario Patriarcale di Venezia,,Organization,威尼斯宗主教神学院。
Semiramis Called to Arms,Q97838760,Work,[Category Fix] Guercino 等人的画作。
Senate,,Organization,[Category Fix] 原文误标为 Place。参议院（威尼斯或罗马）。
Seneca,,Person,塞内卡。
Seneca the Younger,,Person,[Validation] 哲学家/剧作家。
Senigallia,Q124925,Place,马尔凯大区城市。
Serapis,A459,Person,[Myth] 塞拉皮斯神。
Serge Ernst,Q2111938,Person,艺术史学家/策展人。
Sergio Ortolani,Q59525924,Person,那不勒斯艺术史学家。
Sergio Samek Ludovici,Q94912134,Person,图书馆学家/艺术史学家。
Series of Egyptian Figures,A460,Work,[Category Fix] 可能是 Piranesi 的装饰设计。
Series of Etruscan Phallic Symbols,A461,Work,[Category Fix] 考古绘图或收藏。
Service de Documentation Photographique des Musées Nationaux,,Organization,[Category Fix] 法国博物馆影像中心（RMN）。
Servizio particolare,,Concept,"[Category Fix] ""Specific Service"" (Diplomatic or artistic commission)。"
Seymour Slive,Q15430972,Person,哈佛艺术史学家（哈尔斯专家）。
Sforza Pallavicino,Q1618919,Person,耶稣会枢机/历史学家。
Sheila Rinehart,R185,Person,艺术史学家。
Shrines,,Place,圣地/神龛（泛指）。
"Sidney Godolphin, 1st Earl of Godolphin",Q947776,Person,英国政治家。
Sigismund Streit,Q90687,Person,威尼斯的德国商人和赞助人。
Silvestro Manaigo,Q37607085,Person,威尼斯画家。
Silvia Carandini,Q113801624,Person,现代戏剧/艺术史学家。
Silvia Meloni Trkulja,R186,Person,现代艺术史学家（佛罗伦萨专家）。
Silvio Ubaldi,R187,Person,现代历史学家。
Simon Vouet,Q317920,Person,法国巴洛克画家。
Simone Buonaccorsi,Q3484548,Person,
Sir George Edward Leon,Q75507406,Person,英国收藏家。
Sir George Wheler,Q7526946,Person,英国旅行家/神职人员。
"Sir Richard Worsley, 7th Baronet",,Person,英国古董收藏家。
"Sir Robert Bernard, 1st Baronet",Q7528720,Person,
Sir Thomas Baines,,Person,[Category Fix] 原文误标为 Man-Made Object。
"Sir Thomas Isham, 3rd Baronet",,Person,"17世纪日记作者/旅行者。 | [OCR Fix] ""每"" -> ""–""。[Category Fix] 原文误标为 Man-Made Object。"
Sir Watkin Williams-Wynn,,Person,威尔士地主和艺术赞助人。
Sir William Hamilton,,Person,外交官/考古学家。
Sirolo,Q124999,Place,马尔凯大区城镇。
Sisera,Q976765,Person,圣经人物（西西拉）。
Sistine Chapel,Q2943,Place,西斯廷礼拜堂。
Sixtus V,Q133350,Person,教皇西克斯图斯五世。
Sketch for Venus at the Forge of Vulcan,,Work,[Category Fix] 提埃坡罗或 Boucher 的草图。
Social position of the artist,,Concept,[Category Fix] 社会史概念。
Social significance of painting,,Concept,[Category Fix] 研究主题。
Social status of artists,,Concept,[Validation] 艺术史研究主题。
Society of Antiquaries of London,Q5417893,Organization,[Category Fix] 伦敦古物家协会。
Society of Jesus,Q36380,Organization,[Category Fix] 耶稣会。
Socrates,A409,Person,[Category Fix] 原文误标为 Man-Made Object。苏格拉底。
Soderini family,,Group,佛罗伦萨家族。
Solomon,A395,Person,所罗门王。
Solomon Adoring the Idols,,Work,[Category Fix] 常见的圣经画作主题。
Solomon and Bathsheba,A199,Work,[Category Fix]
Solomon in the Temple,Q19897770,Work,[Category Fix]
Solomon's Temple,Q223644,Place,所罗门圣殿。
Somerset House,Q1344889,Place,伦敦萨默塞特府。
Sophia Dorothea of Hanover,,Person,汉诺威选帝侯夫人/普鲁士王后。
Sophronia and Olindo,A317,Work,[Category Fix] 《耶路撒冷的解放》中的主题。
Soprintendenza alle Gallerie,G160,Organization,[Category Fix] 意大利文物监管机构。
Sotheby's,Q654762,Organization,[Category Fix] 苏富比。
South Shetland Islands,Q140948,Place,南设得兰群岛。
Spanish patronage,,Concept,[Category Fix]
St Augustine's Abbey,Q334303,Place,坎特伯雷或其他地方的修道院。
St Jerome in the Wilderness,,Work,[Category Fix] 画作主题。
St Stanislaus Kostka on his Deathbed,,Work,[Category Fix] Le Gros 的著名雕塑。
St. Charles Borromeo Church (Antwerp),,Place,[Disambiguation] 安特卫普教堂。
St. Mark's Basilica,Q172988,Place,威尼斯圣马可大教堂。
St. Michael Vanquishing Satan,,Work,[Validation] 绘画主题 (Guido Reni等)。
St. Paul's Cathedral,Q173882,Place,伦敦圣保罗大教堂。
St. Peter's Baldachin,,Work,[Validation] 贝尼尼青铜华盖。
St. Peter's Basilica,A462,Place,圣彼得大教堂。 | 梵蒂冈圣彼得大教堂。
St. Peter's Square,Q23940745,Place,圣彼得广场。
St. Philip Neri and the Virgin,A335,Work,[Category Fix] 圣菲利波·内里相关画作。
Staatliche Kunstsammlungen Dresden,Q653002,Organization,[Category Fix] 德累斯顿国家艺术收藏馆。
Stadtarchiv Hannover,,Organization,[Category Fix] 汉诺威市档案馆。
Stamperia Albrizzi,,Organization,[Category Fix] 威尼斯印刷厂。 | [Category Fix] 威尼斯著名出版商 Albrizzi。
Stanislao Fraschetti,Q19754117,Person,艺术史学家（贝尼尼传记作者）。
Stanisław August Poniatowski,,Person,"[Duplicate] 同上。 | [OCR Fix] ""?"" -> ""ł""。波兰国王。"
State Hermitage Museum,,Place,[Validation] 冬宫博物馆。
State Inquisition,,Organization,"[OCR Fix] ""Squidition"" -> ""Inquisition""。威尼斯国家宗教裁判所/特务机构。"
State Papers,G80,Work,[Category Fix] 英国国家档案（Calendar of State Papers）。
State Rooms,,Place,国事厅（泛指宫殿内部）。
Stations of the Cross,,Work,[Category Fix] 苦路像。
Statue of Field Marshal Schulenburg,A353,Work,[Category Fix] 科拉迪尼的作品（科孚岛）。 | [Duplicate] 同 3582。
Statue of Hercules killing the Hydra,,Work,[Category Fix] 古代雕塑修复（Algardi 等）。
Statue of Pope Urban VIII,Q15378957,Work,[Category Fix] 贝尼尼作品。
Statues of the Apostles (Lateran),,Work,[Category Fix] 拉特朗大殿的使徒像系列（Rusconi 等）。
Status-seeking (Concept),,Concept,[Validation] 社会学/艺术史概念。
Stefano Cadani,,Person,"[Check Original] 极生僻，可能是 ""Stefano Catani"" (画家) 或 ""Cadani"" 为误植。待确认，暂保留原拼写或修正为 Catani。建议：Stefano Catani。"
Stefano Conti,Q4026944,Person,卢卡著名的艺术赞助人（Canaletto 的客户）。
Stefano Landi,Q381943,Person,早期巴洛克作曲家。
Stefano Lorenzini,Q2356563,Person,医生/解剖学家。
Stefano Sadani,R189,Person,
Stefano Sagredo,,Person,
Stefano della Bella,Q921242,Person,佛罗伦萨版画家。
Stella Rudolph,R190,Person,现代艺术史学家（Maratti 专家）。
Stendhal,,Person,作家司汤达的原名，以写意大利游记和艺术评论著称。 | 司汤达。
Stockholm Palace,Q750444,Place,斯德哥尔摩皇宫。
Stoicism in 17th century,,Concept,[Category Fix] 哲学思潮。
Strada Emanuele,,Place,可能是马耳他或意大利某地街道。
Strada Nuova,Q18443331,Place,热那亚（Via Garibaldi）或威尼斯街道。
Stralsund,Q4065,Place,德国施特拉尔松德。
Strength protecting Wisdom,A209,Work,[Category Fix] 提埃坡罗的画作。
Strozzi family,,Group,[Category Fix] 佛罗伦萨/威尼斯家族。
Studiolo of Isabella d'Este,Q1751463,Place,曼托瓦公爵宫内的书房。
Study for the Fountain of the Four Rivers,,Work,[Validation] 贝尼尼作品草图。
Sulla maniera di Zorzone,A210,Work,"[Category Fix] ""On the manner of Giorgione"" (Title/Concept)。"
Superstition in Rome,,Concept,[Category Fix] 研究主题。
Susanna,A211,Person,圣经人物。
Susanna and the Elders,A345,Work,[Category Fix] 丁托列托、伦勃朗等人的画作。
Svetlana Alpers,Q449499,Person,现代艺术史学家。
Syrinx,Q846129,Person,[Myth] 绪林克斯（山林女神）。
Sándor Baumgarten,Q791500,Person,"[OCR Fix] ""S芍ndor"" -> ""Sándor""。匈牙利建筑师/作家。"
Ségala,Q3510536,Place,"[OCR Fix] ""S谷gala"" -> ""Ségala""。法国地名。"
T. & A. Constable,,Organization,[Category Fix] 著名的爱丁堡印刷出版公司。
Taddeo Barberini,Q3817341,Person,[Reconstruction] 帕莱斯特里纳亲王。 | 帕莱斯特里纳亲王（教皇乌尔班八世的侄子）。
Tahiti,Q42000,Place,大溪地。
Tancred Borenius,Q4350667,Person,芬兰艺术史学家。
Tarantella Dancers,A464,Work,[Category Fix] 可能是专门描绘塔兰泰拉舞的画作或版画。
Tarquin and Lucretia and a Joseph,A212,Work,[Category Fix] 包含两幅或多幅画作的条目（卢克雷蒂亚与约瑟夫）。
Taste in art (German princes),,Concept,[Validation] 艺术史议题。
Tavole Barberini,A329,Work,[Category Fix] Fra Carnevale 的著名画板（现分藏纽约和波士顿）。
Teatro Farnese,Q1507811,Place,帕尔马法尔内塞剧院。
Teatro Malibran,Q3982047,Place,威尼斯马利布兰剧院（原 San Giovanni Grisostomo）。
Temperance,A404,Work,[Category Fix] 寓意画或雕塑。
Tempio Malatestiano,Q1268593,Place,里米尼马拉泰斯塔教堂。
Tempio della Beata Vergine del Soccorso,,Place,[Validation] 罗维戈教堂 (La Rotonda)。
Temple Newsam,Q2748017,Place,英国利兹的庄园。
Temple in Jerusalem,Q3906600,Place,耶路撒冷圣殿。
Temple of Concord,Q828143,Place,罗马神庙。
Temple of Fortuna,,Place,命运女神庙（如 Palestrina）。
Temple of Justice,G98,Place,可能是指罗马建筑或寓意画中的建筑。
Temple of Kronos,G122,Place,希腊神庙。
Temple of Minerva Medica,,Place,[Ambiguous] 可能是 Temple of Minerva (Pallas) 或 Forum of Nerva (Transitorium)。
Teodora dal Pozzo,R191,Person,Cassiano dal Pozzo 的女儿/继承人。
Teodoro Correr,A213,Person,威尼斯收藏家，科雷尔博物馆创始人。
Teodoro Viero,Q6141801,Person,威尼斯出版商/版画家。
Teofilo Gallaccini,Q51527555,Person,"[OCR Fix] ""Gallacini"" -> ""Gallaccini"" (锡耶纳学者/建筑理论家)。 | 锡耶纳学者/建筑理论家。"
Terence,,Person,剧作家泰伦斯。
Teresa Maria Marcellino,R192,Person,[Verify] 可能是 Teresa Maria Marcolini (歌手) 或其他名字的误读。
Terisio Pignatti,,Person,"[OCR Fix] ""Pignatt"" -> ""Pignatti""。威尼斯艺术史权威。"
Terni,Q8621,Place,翁布里亚城市。
The Abduction of Helen,Q118876935,Work,[Category Fix] 圭多·雷尼等人的画作。 | [Category Fix] 常见神话主题。
The Adoration of the Magi,Q28027599,Work,[Category Fix] 三博士来朝。
The Adoration of the Mystic Lamb,,Work,[Category Fix] 根特祭坛画（凡·艾克）。
The Andrians,Q18600136,Work,[Category Fix] 提香的《安德罗斯岛的酒神节》。
The Apostles,,Group/Work,[Validation] 12使徒（或描绘使徒的作品）。
The Apotheosis of Christ's Blood and the Holy Cross,,Work,[Category Fix] Baciccio 的草稿。
The Arrival at the Palace,A214,Work,[Category Fix] 可能是 Carpaccio 圣乌苏拉系列或其他叙事画。
The Arrival of the Earl of Manchester in Venice,Q98145601,Work,[Category Fix] Luca Carlevarijs 的画作。
The Artist with a Group of Friends,,Work,[Category Fix] 可能是 Self-portrait 或 Group portrait。
The Ascension,A216,Work,[Category Fix] 耶稣升天图。
