Refined_Formal_Name,Refined_Category,Status/Notes
Prince Maurice of Savoy,Person,萨伏伊家族成员。
Prince Peretti,Person,Peretti 家族亲王（如 Francesco Peretti）。
Prince Pio di Savoia,Person,
Princess of Rossano,Person,Olimpia Aldobrandini 的头衔之一。
Procida,Place,那不勒斯湾岛屿。
Procuratie Nuove,Place,威尼斯圣马可广场建筑。
Procuratore Canale,Person,[Validation] 官衔+姓氏。
Prometheus,Person,[Myth] 普罗米修斯。
Prospero Colonna,Person,科隆纳家族成员（枢机或雇佣兵队长，需语境）。
Prospero Mandosio,Person,17世纪传记作家（Bibliotheca Romana）。
Prospero Pesci,Person,"18世纪博洛尼亚画家。 | [OCR Fix] ""Gasparo Prospero"" -> ""Prospero""? Prospero Pesci 是罗马画家。Gasparo 可能是误加。"
Protestant Cemetery,Place,泛指（如罗马 Cimitero Acattolico 或威尼斯）。
Protestant Cemetery (Venice),Place,可能是指利多岛的犹太/新教墓地，或罗马的新教公墓。S. Cristoforo 是威尼斯的墓地岛（San Michele前身）。
Provence,Place,普罗旺斯。
Provincial centres of art patronage,Concept,[Category Fix]
Prudence and Justice,Work,[Category Fix] 寓意画。
Prunières,Place,"[OCR Fix] ""豕res"" -> ""ières""。法国地名（Lozère），也可能是指 Henry Prunières (人名) 的误标。"
Public Felicity Triumphant over Dangers,Work,[Category Fix] Orazio Gentileschi 的画作。
Public Record Office,Organization,[Category Fix] 英国国家档案馆前身。
Publishers in Venice,Group,[Category Fix] 职业群体。
Pyrrhus and Demetrius,Work,[Category Fix] 歌剧（Scarlatti/Haym）或画作。
Quadri che rappresentano fatti della Sacra Scrittura,Work,"[OCR Fix] ""Quadi"" -> ""Quadri""。指描绘圣经故事的画作系列。"
Queen Jezebel Being Punished by Jehu,Work,[Category Fix] 耶洗别之死（Luca Giordano 等人画作）。
Quirinal Hill,Place,罗马奎里纳尔山。
Quirinal Palace,Place,奎里纳尔宫。
R. L. Brett,Person,文学学者。
Raccolta di centododici stampe...,Work,[Category Fix] 版画集（如瓦萨里、提埃坡罗等作品集）。
Raffaele Colapietra,Person,现代历史学家。
Raffaele Soprani,Person,热那亚艺术家传记作家。
Raffaello Marchesi,Person,[Category Fix] 原文误标为 Man-Made Object。人物。
Raimondo Buonaccorsi,Person,可能是 Buonaccorsi 家族成员。
Ralph Bankes,Person,Kingston Lacy 的创建者/收藏家。
Ranuccio I Farnese,Person,帕尔马公爵。
Ranuccio II Farnese,Person,帕尔马公爵。
"Ranuccio II Farnese, Duke of Parma",Person,[Validation] 帕尔马公爵。
Raphael,Person,拉斐尔。
Raphael Loggias,Place,梵蒂冈拉斐尔回廊。
Reason and fantasy,Concept,[Category Fix] 艺术理论概念。
Rebecca,Person,圣经人物。
Rebecca and Eliezer,Work,[Category Fix] 普桑、穆里罗等画作。
Reception of Landscapes,Concept,[Category Fix] 原文误标为 Person。
Regatta on the Grand Canal in Honour of Frederick IV of Denmark,Work,[Category Fix] Luca Carlevarijs 的画作。
Regensburg,Place,雷根斯堡。
Reinhard Sebastian Zimmermann,Person,德国画家。
Relief of Field Marshal Schulenburg,Work,[Category Fix] 舒伦堡元帅的浮雕像（Corradini 作）。
Religion Overthrowing Heresy,Work,[Category Fix] Le Gros 的雕塑或画作主题。
Religious Decorations at Whitehall,Work,[Category Fix] 鲁本斯的天顶画或詹姆斯二世时期的装饰。
Rembrandt,Person,伦勃朗。 | 伦勃朗全名。
Remondini family,Group,[Category Fix] 著名的巴萨诺印刷家族。
Remus,Person,罗慕路斯与雷穆斯。
Renier Zen,Person,威尼斯总督 (Renier Zen/Zeno)。
René Pintard,Person,"[OCR Fix] ""Ren谷"" -> ""René""。法国学者（Libertinage 研究）。"
Republic of Venice,Place,[Context] 指威尼斯共和国（军事方面）。
Rest on the Flight into Egypt,Work,[Category Fix] 逃往埃及途中的休息。
Resurrection of Christ,Work,[Category Fix] 耶稣复活图。
Rhineland,Place,莱茵兰。
Rialto Bridge,Place,里亚托桥。
"Richard Boyle, 3rd Earl of Burlington",Person,[Disambiguation] 建筑赞助人 (Palladianism)。 | 帕拉迪奥主义建筑的重要推动者。
Richard Krautheimer,Person,著名的建筑史学家。
Richard Mead,Person,英国医生与著名收藏家（华托赞助人）。
Richard Parkes Bonington,Person,英国浪漫主义画家。
Richard Wilson,Person,威尔士风景画家。
Rieti,Place,拉齐奥大区城市。
Riguccio Galluzzi,Person,[Validation] 托斯卡纳历史学家。
Rimini,Place,里米尼。
Risen Christ (Michelangelo),Work,[Disambiguation] 米开朗基罗雕塑。
Ritratto con cristallo,Work,"[OCR Fix/Hypothesis] ""aistallo"" -> ""cristallo"" (Portait with a crystal)? 或其他物体。待查特定画作。"
River Landscape with Apollo and the Cumaean Sibyl,Work,[Category Fix] Salvator Rosa 或 Claude Lorrain 的画作。
Robert Adam,Person,苏格兰新古典主义建筑师。
Robert Alexander Waller Fund,Organization,[Category Fix] 芝加哥艺术博物馆的基金。
Robert Bellarmine,Person,贝拉明枢机（Saint Robert Bellarmine）。
"Robert Benson, 1st Baron Bingley",Person,[Disambiguation] 英国贵族 (Yorkshire)。
"Robert Devereux, 2nd Earl of Essex",Person,[Disambiguation] 埃塞克斯伯爵。
Robert Dingley,Person,慈善家/Magdalen Hospital 创立者，艺术赞助人。
Robert Enggass,Person,现代艺术史学家（Baciccio 专家）。
Robert Halsband,Person,文学学者（Lady Mary Wortley Montagu 传记作者）。
"Robert Harley, 1st Earl of Oxford",Person,
Robert Hervey,Person,可能是 Hervey 家族成员（如 Lord Hervey）。
Robert Nanteuil,Person,法国肖像版画家。
Robert Walpole,Person,英国首相，重要的艺术收藏家（Houghton Hall）。
Roberto Lanetti,Person,[Verify] 可能是 Roberto Longhi 的误读，或罕见人物。
Roberto Longhi,Person,著名的意大利艺术史学家。
Roberto d'Oderisio,Person,14世纪那不勒斯画家。 | 那不勒斯画家。
Rococo Pavilion,Place,[Context] 可能是宁芬堡的 Amalienburg 等。
Rodolfo Gallo,Person,威尼斯历史学家。
Rodolfo Pallucchini,Person,威尼斯艺术史学家。
Roger Hinks,Person,艺术史学家。
Roger Jones,Person,艺术史学家。
Roger Joseph Boscovich (Ruđer Bošković),Person,[Disambiguation] 耶稣会科学家/多面手。
Roger Morris,Person,英国帕拉迪奥主义建筑师。
Roman Charity (Caritas Romana),Work,[Disambiguation] 罗马慈悲 (绘画主题)。
Roman Curia,Organization,[Category Fix] 罗马教廷。
Romania,Place,罗马尼亚（或指 Romagna 地区，需语境）。
Romolo Panfi,Person,(Romolo Panfi) 佛罗伦萨画家。
Romulus,Person,罗马建立者。
Romulus and Remus,Person,"[Category Fix] 鲁本斯、Carracci 等人的画作主题。 | [OCR Fix] ""Romulm"" -> ""Romulus""。"
Rosalba Carriera,Person,威尼斯色粉画家。
Rosalba Lorenzetti,Person,现代学者/图书管理员。
Rovereto,Place,意大利特伦蒂诺城市。
Royal Academy of Arts,Organization,[Category Fix] 英国皇家美术学院。
Royal Alcázar of Madrid,Place,马德里王宫（旧）。
Royal Chapel,Place,皇家礼拜堂（泛指）。
Royal Collection,Organization,[Category Fix] 英国皇室收藏。
Royal Gallery,Organization,[Context] 可能指都灵或德累斯顿的皇家画廊。
Royal Hospital Chelsea,Place,伦敦切尔西荣军院。
Royal Library of Turin,Organization,[Category Fix] 都灵皇家图书馆。
Royal Palace of Aranjuez,Place,阿兰胡埃斯王宫。
Royal Palace of Madrid,Place,马德里王宫。
Royal Palace of Naples,Place,那不勒斯王宫。
Royal Palace of Turin,Place,都灵王宫。
Royal Society,Organization,[Category Fix] 英国皇家学会。
Royal Swedish Academy of Sciences,Organization,[Category Fix] 瑞典皇家科学院。
Rudolf Wittkower,Person,著名的艺术史学家（巴洛克建筑/贝尼尼专家）。
Rue de Richelieu,Place,巴黎街道。
Ruggero Nuti,Person,普拉托档案学家/历史学家。
Ruins of the Church of the Cross,Work,[Category Fix] 可能是 Pannini 或 Hubert Robert 的画作。
Rules of the Order,Concept,[Category Fix] 修会会规（书籍/概念）。
Ruđer Josip Bošković,Person,"[OCR Fix] ""?"" -> ""đ"", ""?"" -> ""š"", ""?"" -> ""ć""。博斯科维奇。"
Sacrifices to Priapus,Work,[Category Fix] 祭祀普里阿普斯的主题。
Saint Agnes,Person,圣阿格尼丝。
Saint Alexis,Person,圣亚历克西斯。
Saint Aloysius Gonzaga,Person,[Category Fix] 原文误标为 Man-Made Object。
Saint Andrew,Person,[Disambiguation] 圣安德烈。 | 圣安德烈（人物）。
Saint Andrew Avellino,Person,圣安德烈·阿韦利诺。
Saint Bartholomew,Person,[Disambiguation] 圣巴多罗买。
Saint Benedict,Person,[Category Fix] 原文误标为 Place。圣本笃。
Saint Catherine of Siena,Person,圣凯瑟琳（锡耶纳）。
Saint Dominic,Person,圣多明我。
Saint Domitilla,Person,[Category Fix] 原文误标为 Man-Made Object。
Saint Francis Xavier,Person,[Disambiguation] 圣方济各·沙勿略。 | 圣方济各·沙勿略。
Saint Francis of Assisi,Person,[Category Fix] 原文误标为 Place。圣方济各。
Saint Francis of Paola,Person,[Disambiguation] 圣方济各·保拉。
Saint George,Person,圣乔治。
Saint Ignatius of Loyola,Person,[Validation] 同上。 | [Validation] 耶稣会创始人。
Saint John Chrysostom,Person,[Validation] 圣金口约翰。
Saint John the Baptist,Person,[Category Fix] 原文误标为 Man-Made Object。施洗约翰。 | [Validation] 圣徒。
Saint Joseph,Person,圣约瑟夫。
Saint Justina of Padua,Person,帕多瓦的圣朱斯蒂娜。
Saint Lawrence,Person,"[Category Fix] 原文误标为 Place。圣劳伦斯。 | [OCR Fix] ""St.Lawrenc"" -> ""St. Lawrence""。"
Saint Longinus,Work,[Category Fix] 贝尼尼的雕塑或艺术形象。
Saint Mark,Person,[Category Fix] 原文误标为 Man-Made Object。圣马可。
Saint Paul,Person,圣保罗。
Saint Peter,Person,圣彼得。
Saint Peter Penitent,Work,[Category Fix] 忏悔的圣彼得（Guercino 等画作）。
Saint Petersburg,Place,圣彼得堡。
Saint Philip Neri,Person,圣菲利波·内里。
Saint Romuald,Person,[Category Fix] 原文误标为 Man-Made Object。
Saint Sebastian,Person,圣塞巴斯蒂安。
Saint Simon Stock,Person,圣西蒙·斯托克（加尔默罗会）。
Saint Stanislaus Kostka,Person,[Category Fix] 原文误标为 Man-Made Object。 | 圣斯坦尼斯劳斯·科斯特卡。
Saint Susanna,Work,[Category Fix] Duquesnoy 的雕塑或圣人形象。
Saint Teresa of Avila,Person,圣特蕾莎（阿维拉）。
Saint Thomas Aquinas,Person,圣托马斯·阿奎那。
Saint Vincent Ferrer,Person,圣文森特·费雷尔。
Saint William of Aquitaine,Person,[Category Fix] 原文误标为 Man-Made Object。
Saint-Mathieu Church,Place,"[OCR Fix] ""SaintMathieu"" -> ""Saint-Mathieu""。"
Saint-Omer,Place,"[OCR Fix] ""SaintOmer"" -> ""Saint-Omer""。"
Saints John and Charles Borromeo,Work,[Category Fix] 画作主题。
Saints Peter and Paul Baptizing in the Mamertine Prison,Work,[Category Fix] 艺术主题。
Salomon de Brosse,Person,法国建筑师（卢森堡宫）。
Salone,Place,[Ambiguous] 帕多瓦的 Palazzo della Ragione (Il Salone) 或泛指大厅。
Salvator Rosa,Person,萨尔瓦托·罗萨。
Salvator Varda,Person,[Verify] 可能是 Salvator Rosa 的误读，或罕见人物。经查有医生 Salvator Varda。
Salviati family,Group,佛罗伦萨家族。
Salvino Salvini,Person,佛罗伦萨雕塑家。
Samson,Person,圣经人物。
Samson Slaying a Thousand with the Jawbone of an Ass,Work,[Category Fix] 艺术主题。
Samuel H. Kress Foundation,Organization,[Category Fix] 艺术基金会。
Samuel Henry Kress,Person,美国收藏家。
Samuel Hill,Person,可能是英国版画家或美国收藏家。
Samuel Johnson,Person,约翰逊博士。
Samuel von Pufendorf,Person,德国法学家。 | 法学家/历史学家。
Samuele Romanin,Person,威尼斯历史学家。
San Bartolomeo all'Isola,Place,罗马教堂。
San Basilio agli Orti Sallustiani,Place,罗马教堂。
San Canciano,Place,威尼斯教堂。
San Carlo ai Catinari,Place,罗马教堂。
San Carlo alle Quattro Fontane,Place,罗马教堂。 | 罗马教堂（波罗米尼）或喷泉群。
San Damaso,Place,[Disambiguation] 可能是 San Damaso 教堂或 Cortile di San Damaso (梵蒂冈)。
San Domenico,Place,圣多明我教堂（泛指）。
San Francesco de' Macci,Place,佛罗伦萨教堂。
San Francesco della Vigna,Place,威尼斯教堂。
San Francesco di Paola ai Monti,Place,[Disambiguation] 罗马的卡拉布里亚人教堂。
San Gaetano,Place,佛罗伦萨或帕多瓦教堂。
San Giorgio Maggiore,Place,[Validation] 威尼斯教堂。 | 威尼斯修道院。 | 威尼斯教堂（帕拉迪奥）。
San Giovanni Decollato,Place,罗马或威尼斯教堂。 | 罗马教堂。
San Giovanni Grisostomo,Place,威尼斯教堂。
San Giovanni dei Fiorentini,Place,[Validation] 罗马教堂。
San Giovanni in Laterano,Place,拉特朗圣约翰大殿。
San Girolamo della Carità,Place,"[OCR Fix] ""Carit角"" -> ""Carità""。罗马教堂。"
San Lanfranco,Place,帕维亚教堂。
San Lorenzo,Place,佛罗伦萨或罗马教堂。
San Lorenzo in Damaso,Place,罗马教堂。
San Luigi dei Francesi,Place,罗马法兰西教堂。
San Marco,Place,威尼斯圣马可大教堂。
San Marco (Parish),Organization,圣马可堂区。
San Martino ai Monti,Place,罗马教堂。
San Matteo,Place,"[OCR Fix/Dialect] 威尼斯方言 ""San Matio"" (San Matteo)。"
San Niccolò al Lido,Place,威尼斯利多岛教堂。
San Pietro (Perugia),Place,佩鲁贾教堂。
San Salvador,Place,威尼斯教堂。
San Salvatore (Brescia),Place,布雷西亚修道院。
San Salvatore in Lauro,Place,罗马教堂。
San Sebastiano,Place,威尼斯教堂（委罗内塞埋葬地）。
San Sebastiano fuori le mura,Place,罗马教堂。
San Sisto Vecchio,Place,罗马教堂。
San Tomà,Place,"[OCR Fix] ""Tom角"" -> ""Tomà""。威尼斯教堂。"
San Vitale,Place,拉文纳或威尼斯教堂。
San Zaccaria,Place,[Duplicate] 同上。 | 威尼斯教堂。
Sandrina Bandera Bistoletti,Person,现代艺术史学家（布雷拉美术馆馆长）。
Sant'Agnese in Agone,Place,罗马教堂。 | 罗马教堂（Piazza Navona）。
Sant'Alvise,Place,威尼斯教堂。
Sant'Andrea al Quirinale,Place,[Ambiguous] 可能是 Quirinale 或 Della Valle，视语境。 | [Category Fix] 原文误标为 Work。贝尼尼建筑。 | [Context] 可能是指 Quirinale 的 Jesuit Novitiate church。 | 罗马教堂（贝尼尼）。
Sant'Andrea della Valle,Place,罗马教堂。
Sant'Aponal,Place,威尼斯教堂。
Sant'Ignazio di Loyola,Place,罗马教堂（波佐壁画）。
Santa Bibiana,Place,罗马教堂（贝尼尼雕塑）。
Santa Cecilia in Trastevere,Place,[Disambiguation] 罗马教堂。
Santa Maria Assunta,Place,常见的教堂名（如威尼斯I Gesuiti）。
Santa Maria Formosa,Place,威尼斯教堂。
Santa Maria Gloriosa dei Frari,Place,威尼斯弗拉里教堂。
Santa Maria Maddalena dei Pazzi,Place,佛罗伦萨教堂。
Santa Maria Maggiore,Place,罗马圣母大殿。
Santa Maria dei Carmini,Place,[Validation] 威尼斯教堂 (Scuola Grande dei Carmini 旁边)。
Santa Maria del Giglio,Place,别名 Zobenigo，威尼斯教堂。
Santa Maria del Popolo,Place,罗马教堂。
Santa Maria del Rosario (Gesuati),Place,威尼斯Gesuati教堂。
Santa Maria della Carità,Place,[Validation] 威尼斯建筑。
Santa Maria della Concezione dei Cappuccini,Place,[Disambiguation] 罗马嘉布遣会教堂。 | 罗马嘉布遣会教堂。 | 罗马骨骸寺。
Santa Maria della Fava,Place,威尼斯教堂。
Santa Maria della Pace,Place,罗马教堂。
Santa Maria della Pietà,Place,"[OCR Fix] ""Piet角"" -> ""Pietà""。威尼斯教堂（维瓦尔第）。"
Santa Maria della Salute,Place,威尼斯安康圣母堂。
Santa Maria della Vittoria,Place,罗马教堂。 | 罗马教堂（贝尼尼《圣特蕾莎》所在地）。
Santa Maria di Loreto,Place,罗马教堂。
Santa Maria di Nazareth (Scalzi),Place,[Category Fix] 威尼斯赤足教堂（通常简称 Scalzi）。 | 威尼斯赤足教堂。
Santa Maria in Montesanto,Place,罗马人民广场双子教堂之一。
Santa Maria in Vallicella,Place,罗马新堂（Chiesa Nuova）。
Santa Maria sopra Minerva,Place,罗马多明我会教堂。
Santa Marta (Naples),Place,那不勒斯教堂。
Santa Prassede,Place,罗马圣普拉塞德教堂。
Santi Apostoli,Place,罗马或威尼斯教堂（十二使徒教堂）。
Santi Apostoli (Venice/Rome),Place,[Disambiguation] 圣使徒教堂。
Santi Cosma e Damiano,Place,[Validation] 罗马教堂。
Santi Cosma e Damiano (Giudecca),Place,威尼斯朱代卡岛教堂。
Santi Nereo e Achilleo,Place,罗马教堂或圣人。
Santi Quattro Coronati,Place,罗马四殉道堂。
Santi Vincenzo e Anastasio a Trevi,Place,罗马特莱维喷泉旁教堂。
Santissima Annunziata,Place,[Disambiguation] 指代教堂或广场。 | 佛罗伦萨著名教堂。
Santo Stefano,Place,威尼斯或罗马教堂。
Santo Stefano Rotondo,Place,罗马圆形教堂。
Sapienza University of Rome,Organization,罗马大学（La Sapienza）。
"Sarah Churchill, Duchess of Marlborough",Person,著名的马尔伯勒公爵夫人。 | 马尔伯勒公爵夫人。
Sassoferrato,Person,(Giovanni Battista Salvi da Sassoferrato) 画家。 | 马尔凯大区城镇。
Sassoferrato (Giovanni Battista Salvi),Person,[Disambiguation] 萨索费拉托。
Saverio Bettinelli,Person,耶稣会作家/文学评论家。
Saverio Savini,Person,
Savoy,Place,萨伏伊公国。
Scala Regia,Place,梵蒂冈皇家阶梯（贝尼尼设计）。
Scandinavia,Place,斯堪的纳维亚。
Scenes from the Aeneid,Work,[Category Fix] 埃涅阿斯纪插图/画作（如提埃坡罗）。
Scenes from the Life of Scipio Africanus,Work,[Category Fix] 历史画系列。
Scenes of Christian Warfare,Work,[Category Fix] 可能是圣战或十字军主题画作。
Scenes of Venetian Noble Life,Work,[Category Fix] Pietro Longhi 或 Guardi 的风俗画。
Scenes of Witchcraft,Work,[Category Fix] Salvator Rosa 的画作主题。
Schleissheim Palace,Place,"[OCR Fix] ""Schlei?heim"" -> ""Schleißheim""。慕尼黑施莱斯海姆宫。"
Schloss Weimar,Place,魏玛城堡。
Schloss Weißenstein (Pommersfelden),Place,申博恩伯爵的宫殿所在地。
School of Carlo Cignani,Group,[Category Fix] 艺术流派/工作室。
Schönborn family,Group,"[OCR Fix] ""Sch?nborn"" -> ""Schönborn""。德国贵族家族。"
Schönbrunn Palace,Place,"[OCR Fix] ""Sch?nbrunn"" -> ""Schönbrunn""。维也纳美泉宫。"
Scipio Aemilianus,Person,小西庇阿。
Scipione Borghese,Person,[Category Fix] 原文误标为 Work。 | 红衣主教希皮奥内·博尔盖塞（贝尼尼的赞助人）。
Scipione Maffei,Person,维罗纳侯爵，作家/考古学家。
Scipione Pulzone,Person,别名 Il Gaetano，罗马肖像画家。
Scottish National Gallery,Organization,[Category Fix] 苏格兰国家美术馆。
Scrovegni Chapel,Place,帕多瓦斯克罗威尼礼拜堂（乔托壁画）。
Scrovegni Chapel (Arena Chapel),Place,[Disambiguation] 帕多瓦斯克罗威尼礼拜堂。
Sculptures for the Cathedral,Work,[Category Fix] 泛指，需结合具体教堂。
Scuola Grande dei Carmini,Place,[Duplicate] 同上。 | 威尼斯卡尔米尼大会堂。
Scuola Grande dei Carmini / Carità?,Place,"[Ambiguity] ""Carita"" 可能是 ""Santa Maria della Carità"" (威尼斯学院美术馆前身)。"
Scuola Grande di San Rocco,Place,[Duplicate] 同上。 | 威尼斯圣罗格大会堂。 | 威尼斯圣罗格大会堂（丁托列托）。
Sebastiano Bombelli,Person,[Reconstruction] 威尼斯肖像画家。 | 威尼斯肖像画家。
Sebastiano Conca,Person,那不勒斯画家，活跃于罗马。
Sebastiano Foscarini,Person,"[Disambiguation] 可能是 ""Foscarini in Vienna"" (大使) 的简写，指 Sebastiano 或 Marco Foscarini。"
Sebastiano Galeotti,Person,佛罗伦萨/热那亚画家。
Sebastiano Marcotti,Person,17世纪版画家（活跃于那不勒斯）。 | [Duplicate]
Sebastiano Molino,Person,可能是 Sebastiano Molina (画家) 或 Molin 家族成员。
Sebastiano Resta,Person,著名的素描收藏家（Padre Resta）。 | 著名的绘画收藏家/鉴赏家。
Sebastiano Ricci,Person,威尼斯洛可可画家。
Sebastiano Serlio,Person,建筑理论家。
Secondo Lancellotti,Person,17世纪作家（《L'Hoggidì》）。 | [Reconstruction] 作家 (L'Hoggidì)。
Seebohm Rowntree,Person,[Validation] 社会学家 (可能作为文献引用)。
Self-Portrait as David,Work,[Category Fix] Giorgione 或 Palma Giovane 的画作。
Self-Portrait as Winter,Work,[Category Fix] 罗萨尔巴·卡列拉的色粉画。
Seminario Patriarcale di Venezia,Organization,威尼斯宗主教神学院。
Semiramis Called to Arms,Work,[Category Fix] Guercino 等人的画作。
Senate,Organization,[Category Fix] 原文误标为 Place。参议院（威尼斯或罗马）。
Seneca,Person,塞内卡。
Seneca the Younger,Person,[Validation] 哲学家/剧作家。
Senigallia,Place,马尔凯大区城市。
Serapis,Person,[Myth] 塞拉皮斯神。
Serge Ernst,Person,艺术史学家/策展人。
Sergio Ortolani,Person,那不勒斯艺术史学家。
Sergio Samek Ludovici,Person,图书馆学家/艺术史学家。
Series of Egyptian Figures,Work,[Category Fix] 可能是 Piranesi 的装饰设计。
Series of Etruscan Phallic Symbols,Work,[Category Fix] 考古绘图或收藏。
Service de Documentation Photographique des Musées Nationaux,Organization,[Category Fix] 法国博物馆影像中心（RMN）。
Servizio particolare,Concept,"[Category Fix] ""Specific Service"" (Diplomatic or artistic commission)。"
Seymour Slive,Person,哈佛艺术史学家（哈尔斯专家）。
Sforza Pallavicino,Person,耶稣会枢机/历史学家。
Sheila Rinehart,Person,艺术史学家。
Shrines,Place,圣地/神龛（泛指）。
"Sidney Godolphin, 1st Earl of Godolphin",Person,英国政治家。
Sigismund Streit,Person,威尼斯的德国商人和赞助人。
Silvestro Manaigo,Person,威尼斯画家。
Silvia Carandini,Person,现代戏剧/艺术史学家。
Silvia Meloni Trkulja,Person,现代艺术史学家（佛罗伦萨专家）。
Silvio Ubaldi,Person,现代历史学家。
Simon Vouet,Person,法国巴洛克画家。
Simone Buonaccorsi,Person,
Sir George Edward Leon,Person,英国收藏家。
Sir George Wheler,Person,英国旅行家/神职人员。
"Sir Richard Worsley, 7th Baronet",Person,英国古董收藏家。
"Sir Robert Bernard, 1st Baronet",Person,
Sir Thomas Baines,Person,[Category Fix] 原文误标为 Man-Made Object。
"Sir Thomas Isham, 3rd Baronet",Person,"17世纪日记作者/旅行者。 | [OCR Fix] ""每"" -> ""–""。[Category Fix] 原文误标为 Man-Made Object。"
Sir Watkin Williams-Wynn,Person,威尔士地主和艺术赞助人。
Sir William Hamilton,Person,外交官/考古学家。
Sirolo,Place,马尔凯大区城镇。
Sisera,Person,圣经人物（西西拉）。
Sistine Chapel,Place,西斯廷礼拜堂。
Sixtus V,Person,教皇西克斯图斯五世。
Sketch for Venus at the Forge of Vulcan,Work,[Category Fix] 提埃坡罗或 Boucher 的草图。
Social position of the artist,Concept,[Category Fix] 社会史概念。
Social significance of painting,Concept,[Category Fix] 研究主题。
Social status of artists,Concept,[Validation] 艺术史研究主题。
Society of Antiquaries of London,Organization,[Category Fix] 伦敦古物家协会。
Society of Jesus,Organization,[Category Fix] 耶稣会。
Socrates,Person,[Category Fix] 原文误标为 Man-Made Object。苏格拉底。
Soderini family,Group,佛罗伦萨家族。
Solomon,Person,所罗门王。
Solomon Adoring the Idols,Work,[Category Fix] 常见的圣经画作主题。
Solomon and Bathsheba,Work,[Category Fix]
Solomon in the Temple,Work,[Category Fix]
Solomon's Temple,Place,所罗门圣殿。
Somerset House,Place,伦敦萨默塞特府。
Sophia Dorothea of Hanover,Person,汉诺威选帝侯夫人/普鲁士王后。
Sophronia and Olindo,Work,[Category Fix] 《耶路撒冷的解放》中的主题。
Soprintendenza alle Gallerie,Organization,[Category Fix] 意大利文物监管机构。
Sotheby's,Organization,[Category Fix] 苏富比。
South Shetland Islands,Place,南设得兰群岛。
Spanish patronage,Concept,[Category Fix]
St Augustine's Abbey,Place,坎特伯雷或其他地方的修道院。
St Jerome in the Wilderness,Work,[Category Fix] 画作主题。
St Stanislaus Kostka on his Deathbed,Work,[Category Fix] Le Gros 的著名雕塑。
St. Charles Borromeo Church (Antwerp),Place,[Disambiguation] 安特卫普教堂。
St. Mark's Basilica,Place,威尼斯圣马可大教堂。
St. Michael Vanquishing Satan,Work,[Validation] 绘画主题 (Guido Reni等)。
St. Paul's Cathedral,Place,伦敦圣保罗大教堂。
St. Peter's Baldachin,Work,[Validation] 贝尼尼青铜华盖。
St. Peter's Basilica,Place,圣彼得大教堂。 | 梵蒂冈圣彼得大教堂。
St. Peter's Square,Place,圣彼得广场。
St. Philip Neri and the Virgin,Work,[Category Fix] 圣菲利波·内里相关画作。
Staatliche Kunstsammlungen Dresden,Organization,[Category Fix] 德累斯顿国家艺术收藏馆。
Stadtarchiv Hannover,Organization,[Category Fix] 汉诺威市档案馆。
Stamperia Albrizzi,Organization,[Category Fix] 威尼斯印刷厂。 | [Category Fix] 威尼斯著名出版商 Albrizzi。
Stanislao Fraschetti,Person,艺术史学家（贝尼尼传记作者）。
Stanisław August Poniatowski,Person,"[Duplicate] 同上。 | [OCR Fix] ""?"" -> ""ł""。波兰国王。"
State Hermitage Museum,Place,[Validation] 冬宫博物馆。
State Inquisition,Organization,"[OCR Fix] ""Squidition"" -> ""Inquisition""。威尼斯国家宗教裁判所/特务机构。"
State Papers,Work,[Category Fix] 英国国家档案（Calendar of State Papers）。
State Rooms,Place,国事厅（泛指宫殿内部）。
Stations of the Cross,Work,[Category Fix] 苦路像。
Statue of Field Marshal Schulenburg,Work,[Category Fix] 科拉迪尼的作品（科孚岛）。 | [Duplicate] 同 3582。
Statue of Hercules killing the Hydra,Work,[Category Fix] 古代雕塑修复（Algardi 等）。
Statue of Pope Urban VIII,Work,[Category Fix] 贝尼尼作品。
Statues of the Apostles (Lateran),Work,[Category Fix] 拉特朗大殿的使徒像系列（Rusconi 等）。
Status-seeking (Concept),Concept,[Validation] 社会学/艺术史概念。
Stefano Cadani,Person,"[Check Original] 极生僻，可能是 ""Stefano Catani"" (画家) 或 ""Cadani"" 为误植。待确认，暂保留原拼写或修正为 Catani。建议：Stefano Catani。"
Stefano Conti,Person,卢卡著名的艺术赞助人（Canaletto 的客户）。
Stefano Landi,Person,早期巴洛克作曲家。
Stefano Lorenzini,Person,医生/解剖学家。
Stefano Sadani,Person,
Stefano Sagredo,Person,
Stefano della Bella,Person,佛罗伦萨版画家。
Stella Rudolph,Person,现代艺术史学家（Maratti 专家）。
Stendhal,Person,作家司汤达的原名，以写意大利游记和艺术评论著称。 | 司汤达。
Stockholm Palace,Place,斯德哥尔摩皇宫。
Stoicism in 17th century,Concept,[Category Fix] 哲学思潮。
Strada Emanuele,Place,可能是马耳他或意大利某地街道。
Strada Nuova,Place,热那亚（Via Garibaldi）或威尼斯街道。
Stralsund,Place,德国施特拉尔松德。
Strength protecting Wisdom,Work,[Category Fix] 提埃坡罗的画作。
Strozzi family,Group,[Category Fix] 佛罗伦萨/威尼斯家族。
Studiolo of Isabella d'Este,Place,曼托瓦公爵宫内的书房。
Study for the Fountain of the Four Rivers,Work,[Validation] 贝尼尼作品草图。
Sulla maniera di Zorzone,Work,"[Category Fix] ""On the manner of Giorgione"" (Title/Concept)。"
Superstition in Rome,Concept,[Category Fix] 研究主题。
Susanna,Person,圣经人物。
