Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
The Four Continents paying homage to Karl Philip von Greiffenklau,The Four Continents... (Fresco),Work,[Status] Tiepolo (Würzburg)。
The Glorification of the Trinity with the Adoration of the instruments of Passion,The Glorification of the Trinity... (Fresco),Work,[Status]
The Glory of St Dominic,The Glory of St Dominic (Fresco),Work,[Status] Piazzetta (SS. Giovanni e Paolo)。
The Glory of Saint Luigi Gonzaga,The Glory of Saint Luigi Gonzaga (Relief/Fresco),Work,[Status] Legros (浮雕) 或 Pozzo (壁画)。
The Infant Jupiter handed over by Cybele to the Corybantes to befed,The Infant Jupiter handed over by Cybele... (Painting),Work,[Status]
The Killing of Sisera,The Killing of Sisera (Painting),Work,[Status]
The Life of Cato,The Life of Cato (Painting Series),Work,[Status]
The Life of Saint Ursula,The Life of Saint Ursula (Painting Cycle),Work,[Status] Carpaccio。
The Punishment of the Prophet Ananias,The Punishment of Ananias (Painting/Tapestry),Work,[Status] Raphael Cartoon。
The Strada Emmanuela,The Strada Emmanuela,Place/Work,[Status] 可能是街道名或特定描述。
The Three Angels visiting Abraham,The Three Angels Visiting Abraham (Painting),Work,[Status] Tiepolo。
The Virgin Giving the Habit to Saint Teresa,The Virgin Giving the Habit to Saint Teresa (Painting),Work,[Status]
"The War between the Romans and the Sabines, and Coriolanus and his Mother",The War between the Romans and the Sabines... (Painting),Work,[Status]
The artist with a group of friends,The Artist with a Group of Friends (Drawing),Work,[Category Fix] 误标为地点。
The stoning of Zechariah,The Stoning of Zechariah (Painting),Work,[Status]
Theodor Helm Breaker,Dirk Helmbreker,Person,"[OCR Fix] ""Helm Breaker"" -> ""Helmbreker""。误标为作品。"
Third Colonnade for Saint Peter's Square (unfinished),Third Colonnade for Saint Peter's Square,Work,[Status] 贝尼尼的未竟工程。
"Three Dominican Saints: Vincent, Hyacinth and Lawrence",Three Dominican Saints... (Painting),Work,[Status]
Three Portraits of Dogs,Three Portraits of Dogs (Painting),Work,[Status] Guercino?
Tiberio Roberti,Tiberio Roberti,Person,[Status]
Tiepolo's Etchings,Tiepolo's Etchings (Scherzi/Capricci),Work,[Status]
Tre Animali,Tre Animali (Drawing/Print),Work,[Status]
Twelve Watercolors of Venetian Women,Twelve Watercolors of Venetian Women,Work,[Status] G.D. Tiepolo?
Two Baskets of Fruit and Flowers,Two Baskets of Fruit and Flowers (Painting),Work,[Category Fix] 误标为人物。静物画。
Ufficio dell' Assessore Comunale alle Belle Arti,Ufficio dell'Assessore Comunale alle Belle Arti,Organization,[Status] 市政艺术办公室。
Un trionfo d'armi,Un trionfo d'armi (Drawing/Decoration),Work,[Status]
Urbino Cathedral,Urbino Cathedral (Duomo di Urbino),Place,[Category Fix] 误标为作品。
Varj Capriccj,Varj Capriccj (Etchings),Work,[Standardization] Tiepolo 或其他人的一组版画。
Vatican Papal Basilica,St. Peter's Basilica (Vatican),Place,[Standardization] 梵蒂冈圣伯多禄大殿。
Venetian Military Republic,Venetian Military Republic,Concept/Organization,[Status] 政治/军事概念。
Venice Notarial Section,Archivio di Stato di Venezia (Sezione Notarile),Organization,[Category Fix] 误标为地点。
Venice-Inquisitori di Stato,Inquisitori di Stato (Venice),Organization,"[OCR Fix] ""Inquisitori"" 拼写无误，修正连字符格式。"
Venice-Inquisiwri,Inquisitori di Stato (Venice),Organization,"[OCR Fix] ""Inquisiwri"" -> ""Inquisitori""。"
Venice-Sezione Notarile,Archivio di Stato di Venezia (Sezione Notarile),Organization,[Category Fix] 误标为地点。
Venice-Stampe,Archivio di Stato di Venezia (Stampe),Collection/Organization,[Category Fix] 误标为地点。
Ventura Carrara,Ventura Carrara,Person,[Category Fix] 误标为地点。17世纪神职人员 (Arciprete Ventura Carrara)。
Ventura Rossi,Ventura Rossi,Person,[Category Fix] 误标为地点。
Venus Leaving the Bath,Venus Leaving the Bath (Painting),Work,[Category Fix] 误标为地点。
Venus Mourning over the Death of Adonis,Venus Mourning over the Death of Adonis (Painting),Work,[Category Fix] 误标为地点。
Venus playing with Cupid,Venus Playing with Cupid (Painting),Work,[Category Fix] 误标为人物。
Via de' Giubbonari,Via de' Giubbonari,Place,[Category Fix] 误标为人物。罗马街道。
Vienna Foscarini,Vienna Foscarini,Person,"[Category Fix] 误标为作品。可能是 Marco Foscarini 的妻子或女儿? 或者是 ""Villa Foscarini"" 的 OCR 错误? 暂保留人名可能性。"
Vigilie di San Pietro,Vigilie di San Pietro,Work,[Status] 可能是文学作品或绘画主题。
Villa d'Arcetri,Villa d'Arcetri (Il Gioiello),Place,[Category Fix] 误标为作品。伽利略故居。
Vincenzo da Canal,Vincenzo da Canal,Person,[Category Fix] 误标为地点。威尼斯贵族/作家 (L'umanità della pittura)。
Virgil Bassanino,Virgin (Painting by Bassanino),Work,"[OCR Fix] ""Virgil"" -> ""Virgin"", ""Bassanino"" (画家, 可能是 Valerio Castello 别名)。误标为人物。"
Virgin and Child holding Rosaries with Saints Catherine and Dominic,Virgin and Child with Saints Catherine and Dominic... (Painting),Work,[Status] 玫瑰经圣母主题。
Virgin protecting the city of Spoleto,Virgin Protecting the City of Spoleto (Painting),Work,[Category Fix] 误标为地点。
Virginia Museum of fine Arts Williams Fund,Virginia Museum of Fine Arts (Williams Fund),Organization,[Category Fix] 误标为人物。
Viterbo Moroni,Viterbo / Moroni,Place/Person,[Split Required] 错误合并。Viterbo 是城市，Moroni 是人名 (可能是 Giovanni Battista Moroni 或其他)。
Vrilliere,"Louis Phélypeaux, marquis de La Vrillière",Person,[Category Fix] 误标为作品。法国政治家/收藏家。
William Chandler Kirwin,William Chandler Kirwin,Person,[Category Fix] 误标为作品。艺术史学家。
Woman Playing Musical Instrument,Woman Playing a Musical Instrument (Painting),Work,[Category Fix] 误标为地点。
Women washing their Laundry at a Fountain,Women Washing their Laundry... (Painting),Work,[Category Fix] 误标为地点。
Youth rescued from the Pleasures of Venus,Youth Rescued from the Pleasures of Venus (Painting),Work,[Category Fix] 误标为地点。Pietro da Cortona 的壁画主题。
Zephyr Abducting Chloris,Zephyr Abducting Chloris (Painting),Work,[Category Fix] 误标为人物。Tiepolo 等人的主题。
Zuane Udni,Zuane Udny (John Udny),Person,"[OCR Fix/Standardization] ""Zuane"" 是 Venetian ""Giovanni"" (John)，指 John Udny (英国领事)。"
Nell'ingresso del procuratore Giorgio Pisani,Nell'ingresso del procuratore Giorgio Pisani (Poem/Work),Work,"[OCR Fix] 修复符号 ""＊""。可能是庆祝 Giorgio Pisani 入职的作品。"
Una favola d'Enea,Una favola d'Enea (Painting/Work),Work,[Status] 埃涅阿斯故事。
