Refined_Formal_Name,Original-QID,Second-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic
Ovid,Q7198,Q7198,Person,诗人奥维德。,Ovid,Roman poet (43 BC – 17/18 AD),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Owen McSwiny,,Q5102690,Person,[Merge Candidate] 同 Owen McSwiny。 | 剧院经理，卡纳莱托等人的经纪人。,Owen Swiny,Wikipedia Page Match,Advanced Match via 'Owen McSwiny': Score 95.9 (Neutral)
"Où sont des pasteurs, des bergères et des moutons",,,Work,"[OCR Fix] ""O迄"" -> ""Où"", ""berg豕res"" -> ""bergères""。画作描述/标题。",,,No results found
P. & D. Colnaghi & Co.,,Q5147759,Organization,[Category Fix] 原文误标为 Place。艺术画廊/经销商。,Colnaghi,"art gallery in New Bond Street, London","Low Confidence - Score: 53.3 (Sim: 0.53, Cat: Neutral)"
P. Carlo de' Conti Lodoli Veneziano forse il Socrate Architetto,,,Work,[OCR Fix] 书籍/版画标题，指卡洛·洛多利。,,,No results found
Pacecco De Rosa,Q1092358,Q1092358,Person,(Francesco De Rosa) 那不勒斯画家。 | 那不勒斯画家。,Pacecco De Rosa,Italian painter (1607-1656),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Padovanino,,Q103960703,Person,亚历山德罗·瓦罗塔里 (Alessandro Varotari)。,Padovanino,encyclopedia article,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Padre Massimo,,,Person,可能是指 Camillo Massimi 或其他修道士。,,,No results found
Padua,,Q617,Place,帕多瓦。,Padua,"commune and capital city of the Province of Padua, Veneto, Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Paganino Gaudenzi,Q2046132,Q2046132,Person,17世纪学者。,Paganino Gaudenzi,"Swiss theologian, priest and preacher (1595-1649)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Paintings for the Church in Salamanca,,,Work,[Category Fix] 特定委托作品（如提埃坡罗等）。,,,No results found
Palace of Fontainebleau,Q201428,Q201428,Place,枫丹白露宫。,Palace of Fontainebleau,"a palace in Fontainebleau, France","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Palace of Versailles,Q2946,Q2946,Place,凡尔赛宫。,Palace of Versailles,"palace in Versailles, France and location of the Museum of the History of France","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palais Liechtenstein (Vienna),,Q2047082,Place,[Validation] 宫殿。,Palais Liechtenstein,"building in Vienna, Austria",Advanced Match via 'Palais Liechtenstein': Score 120.0 (Match)
Palatinate,Q326359,Q65028013,Place,普法尔茨。,Palatinate,family name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Palazzi Barbaro,Q2603961,Q2603961,Place,威尼斯宫殿。,Palazzi Barbaro,Palaces in Venice,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Palazzo Altemps,Q1094986,Q1094986,Place,罗马宫殿（现为国家博物馆）。,Palazzo Altemps,"building in Rome, Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo Altieri,,Q908759,Place,[Validation] 罗马宫殿。,Palazzo Altieri,"palazzo in Rome, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Palazzo Altieri (Oriolo Romano),Q24204873,Q24204873,Place,奥廖洛罗马诺的阿尔蒂耶里宫。,Palazzo Altieri (Oriolo Romano),"building in Oriolo Romano, Province of Viterbo, Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo Balbi (Genoa),,Q58405500,Place,热那亚巴尔比宫。,Palazzo Balbi,"building in Venice, Italy",Advanced Match via 'Palazzo Balbi': Score 120.0 (Match)
Palazzo Barberini,Q1136614,Q1136614,Place,[Validation] 罗马宫殿。 | 罗马巴贝里尼宫。,Palazzo Barberini,palace in Rome housing part of the Galleria Nazionale d'Arte Antica,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Palazzo Borghese,,Q3889704,Place,[Validation] 罗马宫殿。,Palazzo Borghese,mountain in province Marche,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo Buonaccorsi Art Collection,,,Concept,[Category Fix] 收藏概念。,,,No results found
Palazzo Buonaccorsi Gallery of Ancient Art,Q109732673,Q109732673,Place,马切拉塔的宫殿画廊。,Palazzo Buonaccorsi Gallery of Ancient Art,Collection forming part of the Municipal Museums of Macerata,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo Chiericati,Q729773,Q729773,Place,维琴察帕拉迪奥建筑。,Palazzo Chiericati,"palace in Vicenza, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Palazzo Chigi-Odescalchi,,Q3889852,Place,[OCR Fix] 罗马基吉-奥德斯卡尔基宫。,Palazzo Chigi-Odescalchi,"building in municipio II, Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo Cibo,,Q3889880,Place,[Category Fix] 原文误标为 Work。,Palazzo Colonna (Marino),Wikipedia Page Match,Advanced Match via 'Palazzo Cibo': Score 66.1 (Neutral)
Palazzo Clerici,Q94998806,Q94998806,Place,[Validation] 米兰宫殿 (提埃坡罗壁画)。 | 米兰宫殿（提埃坡罗壁画）。,Palazzo Clerici,"buildings in Castelletto, Cuggiono, Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo Colonna,Q1971299,Q106044567,Place,[Validation] 罗马宫殿。 | 罗马科隆纳宫。,Palazzo Colonna,"building in San Giorgio di Piano, Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo Contarini del Bovolo,,Q1585745,Place,威尼斯蜗牛府。,Palazzo Contarini del Bovolo,"small palazzo in Venice, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Palazzo Doria-Pamphilj (Valmontone),,Q16586138,Place,瓦尔蒙托内宫殿。,Palazzo Doria-Pamphilj,"building in Valmontone, Italy",Advanced Match via 'Palazzo Doria-Pamphilj': Score 120.0 (Match)
Palazzo Ducale (Mantua),,Q1267721,Place,曼托瓦公爵宫。,Palazzo Ducale,"building in Urbino, Italy",Advanced Match via 'Palazzo Ducale': Score 120.0 (Match)
Palazzo Farnese,Q848386,Q2560897,Place,[Category Fix] 原文误标为 Work。 | 罗马法尔内塞宫。,Palazzo Farnese,"historic palace and museum complex in Piacenza, Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo Foscarini,,Q124024161,Place,[Category Fix] 原文误标为 Work。,Palazzo Foscarini,"palace in Castello, Venice, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Palazzo Foscarini (Venice),,Q124024161,Place,位于威尼斯 Carmini 的宫殿。,Palazzo Foscarini,"palace in Castello, Venice, Italy",Advanced Match via 'Palazzo Foscarini': Score 100.0 (Neutral)
Palazzo Foscarini ai Carmini,,Q3890133,Place,,Palazzo Foscarini ai Carmini (Venice),"palace in Venice, Italy","Medium Confidence - Score: 86.2 (Sim: 0.86, Cat: Neutral)"
Palazzo Gondi,Q1083014,Q1083014,Place,[Validation] 佛罗伦萨宫殿。 | 佛罗伦萨宫殿。,Palazzo Gondi,palazzo,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Palazzo Litta,Q732658,Q732658,Place,米兰宫殿。,Palazzo Litta,"palace in Milan, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Palazzo Loredan,,Q16586218,Place,威尼斯宫殿。,Palazzo Loredan Cini,"palace along the Canal Grande, Venice","Medium Confidence - Score: 85.7 (Sim: 0.86, Cat: Neutral)"
Palazzo Manin,Q124029132,Q124029132,Place,[Category Fix] 原文误标为 Work。 | 威尼斯宫殿（现为意大利银行）。,Palazzo Manin,"palace in Udine, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Palazzo Marucelli,,Q3890107,Place,[Category Fix] 佛罗伦萨的马鲁切利-芬奇宫（Palazzo Marucelli-Fenzi）。,Palazzo Fenzi,"palace in Florence, Italy","Medium Confidence - Score: 66.7 (Sim: 0.67, Cat: Neutral)"
Palazzo Marucelli-Fenzi,,Q3890107,Place,佛罗伦萨宫殿。,Palazzo Fenzi,"palace in Florence, Italy","Medium Confidence - Score: 72.2 (Sim: 0.72, Cat: Neutral)"
Palazzo Medici Riccardi,Q911047,Q911047,Place,[Category Fix] 佛罗伦萨宫殿。 | 佛罗伦萨美第奇-里卡迪宫。,Palazzo Medici Riccardi,"palace and museum in Florence, Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo Montanari,,Q3757774,Place,[Category Fix] 位于博洛尼亚或其他城市的宫殿。,"Palazzo Leoni Montanari, Vicenza",museum in Italy,"Medium Confidence - Score: 89.4 (Sim: 0.69, Cat: Match)"
Palazzo Morosini,,Q17638074,Place,威尼斯宫殿（如 Palazzo Morosini Sagredo）。,Palazzo Morosini Brandolin,"building in Venice, Italy","High Confidence - Score: 96.2 (Sim: 0.76, Cat: Match)"
Palazzo Pallavicini-Rospigliosi,,Q1817132,Place,罗马宫殿。,Palazzo Pallavicini-Rospigliosi,"palace and art gallery in Rome, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Palazzo Pamphilj (Piazza Navona),,Q2047593,Place,[Category Fix] 原文误标为 Man-Made Object。 | 罗马纳沃纳广场的潘菲利宫。,Palazzo Pamphilj,Wikipedia Page Match,Advanced Match via 'Palazzo Pamphilj': Score 105.0 (Neutral)
Palazzo Pepoli,,Q28772011,Place,博洛尼亚宫殿。,Palazzo Pepoli,"palace in Bologna, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Palazzo Pisani,,Q55166916,Place,[Category Fix] 威尼斯宫殿（如 Palazzo Pisani Moretta）。,Palazzo Pisani,"building in Lonigo, Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo Pitti,Q29286,Q29286,Place,[Category Fix] 原文误标为 Man-Made Object。 | 佛罗伦萨皮蒂宫。,Palazzo Pitti,"Renaissance palace and museum in Florence, Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo Reale,Q3890742,Q426339,Place,皇宫（通常指那不勒斯、米兰或都灵，需上下文）。,Royal Palace of Naples,"building in Naples, Italy","Medium Confidence - Score: 71.4 (Sim: 0.51, Cat: Match)"
Palazzo Sandi,,Q18763351,Place,[Category Fix] 威尼斯宫殿（提埃坡罗壁画）。,Sandi Palace,"palace in San Marco, Venice, Italy","Low Confidence - Score: 40.0 (Sim: 0.40, Cat: Neutral)"
Palazzo Schifanoia,Q1276962,Q1276962,Place,费拉拉宫殿。,Palazzo Schifanoia,"palace and museum in Ferrara, Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo Taddeo,,,Place,[Verification] 可能是指 Palazzo Taddei (Florence) 或其他具体宫殿。,,,No results found
Palazzo Taverna (Monte Giordano),,Q25295856,Place,罗马 Orsini 家族的据点 Monte Giordano。,Palazzo Taverna,"building in Milan, Italy",Advanced Match via 'Palazzo Taverna': Score 120.0 (Match)
Palazzo Venezia,Q1123879,Q1228270,Place,罗马威尼斯宫。,Palazzo Venezia,"Historic building of Naples, Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo Widmann,,Q21198018,Place,[Category Fix] 威尼斯宫殿。,Palais Widmann,"building in Bolzano, Italy","High Confidence - Score: 102.8 (Sim: 0.83, Cat: Match)"
Palazzo Zenobio,,,Place,[Category Fix] 威尼斯宫殿。,,,No results found
Palazzo dei Conservatori,Q64103,Q64103,Place,罗马卡比托利欧博物馆之一。,Palazzo dei Conservatori,historic building in Rome,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo della Cancelleria,Q2031943,Q2031943,Place,罗马大法官宫。,Palazzo della Cancelleria,"building in Ponte, Rome, Italy","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo della Ragione,Q2517428,Q3361361,Place,理性宫（帕多瓦/维琴察等）。,Palazzo della Ragione,type of public building in Italy,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Palazzo di Spagna (Embassy of Spain),,Q9054484,Place,[Validation] 罗马建筑。,Palazzo di Spagna,Wikipedia Page Match,Advanced Match via 'Palazzo di Spagna': Score 105.0 (Neutral)
Palazzolo dello Stella,Q53301,Q53301,Place,乌迪内省市镇。,Palazzolo dello Stella,Italian comune,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Palestrina,Q30028551,Q368944,Place,拉齐奥大区城镇（古代Praeneste）。,Palestrina,opera by Hans Pfitzner,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pallas Athena,Q3610098,Q37122,Person,[Myth] 帕拉斯·雅典娜。,Athena,goddess of wisdom and war in ancient Greek religion and mythology,"Medium Confidence - Score: 63.2 (Sim: 0.63, Cat: Neutral)"
Palma il Giovane,,Q651795,Person,[Validation] 威尼斯画家。 | 威尼斯画家小帕尔马。,Palma il Giovane,Venetian painter (1548/50-1628),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pan,Q132582,Q80174,Person,[Myth] 牧神潘。,Pan,"genus of mammals, includes 2 species: common chimpanzee and bonobo","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pan Subdued by Cupid,,Q65077262,Work,[Category Fix] 阿戈斯蒂诺·卡拉奇的版画/画作。,Pan Subdued by Cupid (from a painting by Carracci) and Triumph of Bacchus (from a painting by Pietro da Cortona),print in the National Gallery of Art (NGA 37232),"Low Confidence - Score: 30.3 (Sim: 0.30, Cat: Neutral)"
Pan and Syrinx,Q55412120,Q111645387,Work,[Category Fix] 神话主题/画作。,Pan and Syrinx,painting by Peter Paul Rubens (1577-1640),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pantheon (Santa Maria ad Martyres),,Q1749372,Place,[Disambiguation] 万神殿俗称。,Pantheon,"building in Leipzig, Saxony, Germany",Advanced Match via 'Pantheon': Score 120.0 (Match)
"Pantheon, Rome",,Q110705472,Place,罗马万神殿。,"Pantheon, Rome",drawing held in the Nationalmuseum of Sweden,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Paola Berselli Ambri,,,Person,现代学者（文学/历史）。,,,No results found
Paola Zambelli,Q5936529,Q5936529,Person,现代哲学史学家。 | 科学史学家。,Paola Zambelli,Italian philosophy historian (1936-),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Paola della Pergola,Q56682517,Q56682517,Person,艺术史学家（博尔盖塞美术馆目录作者）。,Paola della Pergola,Italian museologist,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Paolo Battista Balbi,Q105635223,Q105635223,Person,,Paolo Battista Balbi,Italian physician (1693-1772),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Paolo Emilio Sfondrati,Q2518867,Q2518867,Person,红衣主教 Sfondrati（圣塞西莉亚赞助人）。 | 红衣主教（圣塞西莉亚遗骸发现者）。,Paolo Emilio Sfondrati,Italian Cardinal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Paolo Farinati,Q367287,Q367287,Person,维罗纳画家。,Paolo Farinati,"Italian painter, engraver and architect (1524-1606)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Paolo Gerolamo Piola,Q3894101,Q3894101,Person,热那亚画家。,Paolo Gerolamo Piola,Italian painter (1666-1724),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Paolo Giordano I Orsini,Q519364,Q519364,Person,[Reconstruction] 第一代布拉恰诺公爵。 | 布拉恰诺公爵。,Paolo Giordano I Orsini,(1541-1585) Italian noble,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Paolo Giordano II Orsini,,Q21640069,Person,"[OCR Fix] ""Giordona"" -> ""Giordano""。 | 艺术赞助人，诗人。",Paolo Giordano Orsini II,nobleman and poet (1591-1656),"High Confidence - Score: 107.5 (Sim: 0.88, Cat: Match)"
Paolo Giordano Orsini,,Q21640069,Person,[Context] 通常指 Orsini 公爵 (需视具体年代)。 | 奥尔西尼家族成员。,Paolo Giordano Orsini II,nobleman and poet (1591-1656),"High Confidence - Score: 113.3 (Sim: 0.93, Cat: Match)"
Paolo Guidotti,Q3894144,Q3894144,Person,别名 Borghese，卢卡画家/雕塑家。,Paolo Guidotti,Roman painter and polymath (c.1560-1629),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Paolo Maccarani,,,Person,,,,No results found
Paolo Maria Paciaudi,Q3362645,Q3362645,Person,考古学家/图书馆员。,Paolo Maria Paciaudi,"Italian theologist, antiquarian, archaeologist and librarian","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Paolo Negri,Q3894305,Q3894305,Person,可能是历史学家 Paolo Negri 或画家。,Paolo Negri,Italian pianist,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Paolo Portoghesi,Q176938,Q176938,Person,现代建筑师/建筑史学家。,Paolo Portoghesi,Italian architect (1931-2023),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Paolo Renier,Q663054,Q663054,Person,威尼斯总督。,Paolo Renier,"119th, and penultimate, Doge of Venice","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Paolo Veronese,Q9440,Q9440,Person,[Disambiguation] 18世纪英国对 Veronese 的滑稽音译/戏称。 | 委罗内塞。,Paolo Veronese,Italian painter of the Renaissance (1528–1588),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Paolo de Matteis,Q1851224,Q1851224,Person,那不勒斯画家。,Paolo de Matteis,Italian painter (1662-1728),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Papal States,,Q170174,Place,教皇国。,Papal States,territories mostly in the Appenine Peninsula under the sovereign direct rule of the pope between 756–1870,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Paris Bordone,Q366081,Q366081,Person,[Category Fix] 原文误标为 Place。威尼斯画家。,Paris Bordone,Italian artist (1500–1570),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Parma Cathedral,Q1287889,Q1287889,Place,帕尔马大教堂。,Parma Cathedral,cathedral,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Parmigianino,,Q9348,Person,[Category Fix] 原文误标为 Place。帕尔米贾尼诺。 | [Disambiguation] 帕尔米贾尼诺。,Parmigianino,Italian Mannerist painter and printmaker (1503–1540),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Parnassus,,Q3225258,Work,[Category Fix] 帕纳塞斯山（拉斐尔或曼特尼亚画作）。,Parnassus,painting by Andrea Mantegna,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Passariano,Q3368209,Q3368209,Place,Villa Manin 所在地。,Passariano,former department of the Kingdom of Italy (1806-1814),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pastoral Landscape,,Q28060596,Work,[Category Fix] 绘画类型/作品。,Pastoral landscape,painting by anonymous painter (RCE NK3307) and part of 10-part folding screen,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Patriarchal Seminary of Venice,Q105988819,Q105988819,Organization,[Category Fix] 威尼斯宗主教神学院。,Patriarchal Seminary of Venice,,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Patron-artist relationship,,,Concept,,,,No results found
Patronage by professional classes,,Q265939,Concept,[Category Fix] 赞助研究主题。,Patronage,Wikipedia Page Match,Advanced Match via 'Patronage': Score 105.0 (Neutral)
Patronage by religious orders,,Q265939,Concept,[Category Fix],Patronage,Wikipedia Page Match,Advanced Match via 'Patronage': Score 105.0 (Neutral)
Paul Bril,,Q540753,Person,佛兰芒风景画家。,Paul Bril,Flemish painter,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Paul Dudon,Q54863770,Q54863770,Person,耶稣会历史学家。,Paul Dudon,(1859-1941),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Paul Fréart de Chantelou,Q3371258,Q3371258,Person,"[OCR Fix] ""Fr谷art"" -> ""Fréart""。贝尼尼在法国的向导。 | [Reconstruction] 贝尼尼在法国的接待者/日记作者。",Paul Fréart de Chantelou,art collector,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Paul Hazard,Q462281,Q462281,Person,法国思想史学家。,Paul Hazard,French historian (1878-1944),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Paul Heilbronner,,Q19754066,Person,地理学家/测量学家。,Paul Laporte,German-American art historian (1904-1980),"Medium Confidence - Score: 62.9 (Sim: 0.43, Cat: Match)"
Paul V,,Q132711,Person,[Disambiguation] 教皇保罗五世。 | 教皇保罗五世（Borghese）。,Paul V,233rd pope of the Roman Catholic Church from 1605 to 1621,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Paul V (Camillo Borghese),,Q132711,Person,[Disambiguation] 教皇保罗五世。,Paul V,233rd pope of the Roman Catholic Church from 1605 to 1621,Advanced Match via 'Paul V': Score 120.0 (Match)
Paul Valéry,Q200639,Q200639,Person,"[OCR Fix] ""Val谷ry"" -> ""Valéry""。诗人。",Paul Valéry,"French poet, essayist, and philosopher (1871–1945)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pedro Berruguete,Q561783,Q561783,Person,"[OCR Fix] ""Berreguete"" -> ""Berruguete""。 | 西班牙画家。",Pedro Berruguete,Spanish painter (1450-1504),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Pellegrino Antonio Orlandi,Q947577,Q947577,Person,艺术史学家（《Abecedario pittorico》作者）。,Pellegrino Antonio Orlandi,Italian art historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pellegrino Peri,,Q78288195,Person,17世纪画家/透视法专家。,Teresa Pellegrino,Wikipedia Page Match,Advanced Match via 'Pellegrino Peri': Score 67.5 (Neutral)
Pellegrino de' Rossi,,Q673256,Person,[Ambiguous] 可能是 Pellegrino Rossi (19世纪) 或 Rossi 家族成员。,Pellegrino Rossi,Wikipedia Page Match,Advanced Match via 'Pellegrino de' Rossi': Score 93.9 (Neutral)
Peloponnese,Q78967,Q78967,Place,伯罗奔尼撒半岛。,Peloponnese,large peninsula and geographic region in southern Greece,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Pendentive Frescoes of the Church of the Gesù,,,Work,"[OCR Fix] ""Ges迄"" -> ""Gesù""。高利（Baciccio）的壁画。",,,No results found
Per Bjurström,,Q5577315,Person,"[OCR Fix] ""?m"" -> ""öm""。瑞典艺术史学家。",Per Bjurström,former director of the Nationalmuseum Stockholm (1928–2017),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Perino del Vaga,Q918778,Q918778,Person,拉斐尔的学生，风格主义画家。,Perino del Vaga,Italian painter (1501–1547),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Perseus and Andromeda,,Q3900153,Work,[Category Fix] 提埃坡罗、提香或鲁本斯等人的画作。,Perseus and Andromeda,painting by Peter Paul Rubens in the Hermitage,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Perseus with the Head of Medusa,,Q599034,Work,[Category Fix] 切利尼的著名雕塑。,Perseus with the Head of Medusa,sculpture by Benvenuto Cellini,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Peter Anthony Motteux,Q3382857,Q3382857,Person,(Pierre Antoine Motteux) 作家/翻译家。 | (Pierre Antoine Motteux) 法国出生的英国剧作家/翻译家。,Peter Anthony Motteux,English writer,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Peter Calvocoressi,Q1364666,Q1364666,Person,现代出版人/历史学家。,Peter Calvocoressi,"British lawyer, historian and publisher (1912–2010)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Peter Lely,Q161336,Q161336,Person,英国宫廷画家。,Peter Lely,17th-century Dutch painter (1618–1680),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Peter Moores,Q7175941,Q7175941,Person,现代艺术赞助人。,Peter Moores,"British businessman, art collector and philanthropist (1932-2016)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Peter P. Rohrlach,Q107603224,Q107603224,Person,现代图书馆学家/历史学家（柏林史）。,Peter P. Rohrlach,German historian and library director,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Peter Paul Rubens,Q5599,Q5599,Person,鲁本斯。,Peter Paul Rubens,Flemish painter (1577–1640),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Peter Strudel,Q321520,Q321520,Person,奥地利雕塑家/画家。,Peter Strudel,Austrian artist (1660-1714),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Peter de Witte,Q315803,Q7177906,Person,别名 Peter Candid，佛兰芒画家。,Peter de Witte II,Flemish Baroque painter (1617–1667),"High Confidence - Score: 110.3 (Sim: 0.90, Cat: Match)"
Peter van Bleeck,Q2079286,Q2079286,Person,荷兰肖像画家/版画家。,Peter van Bleeck,Dutch painter and Mezzotint Engraver (1697-1764),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Petit Palais,Q820892,Q820892,Place,巴黎小皇宫。,Petit Palais,building housing the Museum of Fine Arts of the City of Paris,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Petrarch,Q1401,Q1401,Person,[Category Fix] 原文误标为 Man-Made Object。彼特拉克。,Petrarch,Italian scholar and poet (1304-1374),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Phidias,Q177302,Q177302,Person,古希腊雕塑家菲迪亚斯。,Phidias,"Greek sculptor, painter and architect (c.480–430 BC)","High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Philadelphia Museum of Art,Q510324,Q114245540,Organization,[Category Fix] 费城艺术博物馆。,Philadelphia Museum of Art Union,local union for Philadelphia Museum of Art,"High Confidence - Score: 109.7 (Sim: 0.90, Cat: Match)"
Philip Hofer,Q19754076,Q19754076,Person,哈佛图书馆策展人/收藏家。,Philip Hofer,"American librarian, art historian, art collector (1898-1984)","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Philip II of Spain,Q34417,Q34417,Person,[Category Fix] 原文误标为 Place。西班牙国王。,Philip II of Spain,"King of Spain, Portugal, Naples and Sicily; King consort of England, lived 1527-1598","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Philip III of Spain,Q34464,Q34464,Person,西班牙国王。,Philip III of Spain,King of Castilla and León and King of Aragon and Portugal,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Philip IV of Spain,Q691402,Q691402,Person,[Category Fix] 原文误标为 Place。西班牙国王。,Philip IV of Spain,King of Spain and Portugal (1605-1665),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Philip Skippon,,Q646271,Person,英国旅行作家。,Philip Skippon,English army officer (1600-1660),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Philip Stanhope, 4th Earl of Chesterfield",Q332487,Q332487,Person,英国政治家/文人。,"Philip Stanhope, 4th Earl of Chesterfield",18th-century British statesman and man of letters; (1694-1773),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
